"第2層","第2層説明","査読への返答","A","B","C","D","E","F","G","H","I"
"信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす。","","","","","","","","","",""
"思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する。","","","","","","","","","",""
"社会正義","社会的公正を実現する。","","","","","","","","","",""
"全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。","","","","","","","","","",""
"地域の視点とアプローチ","地域の実情に応じた医療・介護・保健・福祉の現状及び課題を理解し、医療の基本としてのプライマリ・ケアの実践、ヘルスケアシステムの質の向上に貢献するための能力を獲得する。","","","","","","","","","",""
"人生の視点とアプローチ","患者・生活者の成長、発達、老化、死のプロセスを踏まえ、経時的に患者・家族・生活者に起こり得る精神・社会・医学的な問題に関与できる。","","","","「精神・社会・医学的な」という並べ方にやや違和感があります。医学的・非医学的に関わらず（医学か医学でないかという目線ではなく）、他とあわせて「身体・心理・社会的な」問題とするほうがよいのではないでしょうか。","","","","","",""
"社会の視点とアプローチ","文化的・社会的文脈のなかで生成される健康観や人びとの言動・関係性を理解し、文化人類学・社会学(主に医療人類学・医療社会学)の視点から、それを臨床実践に活用することができる。","","","","","","","","","",""
"医療の質と患者安全","医療の質と患者安全の観点で自己の行動を省察し、組織改善と患者中心の視点を獲得する。","","","","","","","","","",""
"生涯学習","生涯学び続ける価値観を形成する。","","","","","","","","","",""
"医療者教育","医師・医学生に限らず同僚や後輩を含む医療者への教育に貢献する。","","","","あえて「他職種」を避けていますか？「同僚」に誰が含まれるのか、先輩は入らないのか（学習する組織としての視点はいらないのか）といった認識の違いが読者によっておこりそうなので、「医師・医学生に限らず、他職種を含む医療者への教育に貢献する」のほうが明確ではあります。","","","","","",""
"リサーチマインド","","","","","","","","","","",""
"既知の知","","","","","","","","","","",""
"研究の実施","","","","","","","","","","",""
"研究の発信","","","","","","","","","","",""
"研究倫理","","","","","","","","","","",""
"基礎医学","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","","","","","","","","","","",""
"全身に及ぶ生理的変化、病態、診断、治療","","","","","","","","","","",""
"情報・科学技術に向き合うための倫理観とルール","医療や研究等の場面で、情報科学技術を取り扱う際に必要な倫理観・デジタルプロフェッショナリズム・及び基本的原則を理解する。","","","","","","","","","",""
"医療とそれを取り巻く社会に必要な情報・科学技術の原理","安全かつ質の高い医療・医学研究に必要な情報・科学技術に関する基本理論を理解し、その知識を自身の学習や医療への適応する姿勢を体得する。","","","","","","","","","",""
"診療現場における情報・科学技術の活用","遠隔医療を含む患者診療、及び学習の最適化に有効なICTツールの実践スキル、デジタルコミュニケーションスキルを修得する","","","","","","","","","",""
"患者の情報収集","患者本人、家族、医療スタッフなど関係する様々なリソースを活用し、診療に必要な情報を収集できる。","","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","得られたすべての情報を統合し、様々な観点から分析し、必要な医療について評価した上で提供すべき医療を計画できる。","","","","","","","","","",""
"治療を含む対応の実施","患者の状態の評価に基づいて患者本人、家族、医療スタッフと連携し、必要な医療を提案または実施できる。","","","","","","","","","",""
