"主要症候","検討すべき鑑別疾患","UID","H28対応項目","錦織","メモ","査読への返答","A","B","C","D","E","F","G","H","I"
"発熱","髄膜炎,上気道炎,扁桃炎,肺炎,結核,急性副鼻腔炎,尿路感染症,胆嚢炎,胆管炎,薬剤性,インフルエンザ,蜂巣炎,感染性心内膜炎","JlAK6lk","F-01-01-na-01,F-01-01-na-02,F-01-01-na-03,G-02-01-na-01,G-02-01-na-02,G-02-01-na-03,G-02-01-na-04,G-02-01-na-05,G-02-01-na-06,G-02-01-na-07,G-02-01-na-08","","","","","","","","","","","",""
"全身倦怠感","結核,肝炎,心不全,うつ病,甲状腺機能低下症,鉄欠乏性貧血","JlAK6lo","F-01-02-na-01,F-01-02-na-02,F-01-02-na-03,G-02-02-na-01,G-02-02-na-02,G-02-02-na-03,G-02-02-na-04,G-02-02-na-05,G-02-02-na-06,G-02-02-na-07,G-02-02-na-08,G-02-02-na-09,G-02-02-na-10","","","","","","","","","","","",""
"食思(欲)不振","消化性潰瘍,急性肝炎,うつ病,急性副腎不全","JlAK6ls","F-01-03-na-01,F-01-03-na-02,F-01-03-na-03,G-02-03-na-01,G-02-03-na-02,G-02-03-na-03,G-02-03-na-04,G-02-03-na-05","","","","","","","","","","","",""
"体重減少","心不全,ネフローゼ症候群,甲状腺機能低下症","JlAK6lw","F-01-04-na-01,F-01-04-na-02,F-01-04-na-03,G-02-04-na-01,G-02-04-na-02,G-02-04-na-03,G-02-04-na-04,G-02-04-na-05,G-02-04-na-06,G-02-04-na-07,G-02-04-na-08,G-02-04-na-09,G-02-04-na-10,G-02-04-na-11","","","","","","","","","","","",""
"体重増加","悪性腫瘍全般,糖尿病,甲状腺機能亢進症,うつ病,慢性閉塞性肺疾患＜COPD＞,神経性食思<欲＞不振症＜拒食症＞","JlAK6l0","F-01-04-na-01,F-01-04-na-02,F-01-04-na-03,G-02-04-na-01,G-02-04-na-02,G-02-04-na-03,G-02-04-na-04,G-02-04-na-05,G-02-04-na-06,G-02-04-na-07,G-02-04-na-08,G-02-04-na-09,G-02-04-na-10,G-02-04-na-11","","","","","","","","","","","",""
"意識障害","くも膜下出血,頭蓋内血腫,脳炎,脳出血,脳梗塞,髄膜炎,薬物中毒,アルコール性中毒,てんかん,心筋梗塞,急性大動脈解離,急性消化管出血,敗血症,低血糖,ショック,CO2ナルコーシス,ナトリウム代謝異常","JlAK6l4","F-01-07-na-01,F-01-07-na-02,F-01-07-na-03,G-02-07-na-01,G-02-07-na-02,G-02-07-na-03,G-02-07-na-04,G-02-07-na-05,G-02-07-na-06,G-02-07-na-07,G-02-07-na-08,G-02-07-na-09","","","","","","","","","","","",""
"失神","不整脈,弁膜症（大動脈弁膜症）,てんかん,肺塞栓症","JlAK6l8","F-01-07-na-01,F-01-07-na-02,F-01-07-na-03,G-02-07-na-01,G-02-07-na-02,G-02-07-na-03,G-02-07-na-04,G-02-07-na-05,G-02-07-na-06,G-02-07-na-07,G-02-07-na-08,G-02-07-na-09","","","","","","","","","","","",""
"けいれん","脳梗塞,脳出血,脳炎,脳症,熱性けいれん,てんかん","JlAK6mA","F-01-08-na-01,F-01-08-na-02,F-01-08-na-03,G-02-08-na-01,G-02-08-na-02,G-02-08-na-03,G-02-08-na-04,G-02-08-na-05,G-02-08-na-06","","","","","","","","","","","",""
"めまい","良性発作性頭位めまい症,脳出血,脳梗塞,Meniere病,前庭神経炎","JlAK6mE","F-01-09-na-01,F-01-09-na-02,F-01-09-na-03,G-02-09-na-01,G-02-09-na-02,G-02-09-na-03,G-02-09-na-04,G-02-09-na-05,G-02-09-na-06,G-02-09-na-07","","","","","","","","","","","",""
"浮腫","深部静脈血栓症,心不全,ネフローゼ症候群,慢性腎臓病,肝硬変,甲状腺機能低下症,薬剤性,リンパ浮腫,血管性浮腫","JlAK6mI","F-01-11-na-01,F-01-11-na-02,F-01-11-na-03,G-02-11-na-01,G-02-11-na-02,G-02-11-na-03,G-02-11-na-04,G-02-11-na-05,G-02-11-na-06","","","","","","","","","","","",""
