"臓器","分類","項目名","UID","H28対応項目","H28表記","修正提案(20220302)","査読コメント(20220302)","削除項目","追加項目","メモ","査読への返答","A","B","C","D","E","F","G","H","I"
"血液・造血器・リンパ系","構造と機能","骨髄の構造","JlAKpVg","D-01-01-na-01","骨髄の構造を説明できる。","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","構造と機能","造血幹細胞から各血球への分化と成熟の過程","JlAKpVk","D-01-01-na-02","造血幹細胞から各血球への分化と成熟の過程を説明できる。","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","構造と機能","主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子<G-CSF>、トロンボポエチン）","JlAKpVo","D-01-01-na-03","主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子(granulocyte-colony stimulating factor <G-CSF>)、トロンボポエチン）を説明できる。","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","構造と機能","脾臓、胸腺、リンパ節、扁桃とPeyer 板の構造と機能","JlAKpVs","D-01-01-na-04","脾臓、胸腺、リンパ節、扁桃とPeyer板の構造と機能を説明できる。","パイエル板？","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","構造と機能","血漿タンパク質の種類と機能","JlAKpVw","D-01-01-na-05","血漿タンパク質の種類と機能を説明できる。","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","構造と機能","赤血球とヘモグロビンの構造と機能","JlAKpV0","D-01-01-na-06","赤血球とヘモグロビンの構造と機能を説明できる。","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","構造と機能","白血球の種類と機能","JlAKpV4","D-01-01-na-07","白血球の種類と機能を説明できる。","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","構造と機能","血小板の機能と止血や凝固・線溶の機序","JlAKpV8","D-01-01-na-08","血小板の機能と止血や凝固・線溶の機序を説明できる。","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","症候","発熱","JlAKpWA","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","発熱,全身倦怠感,黄疸,貧血,出血傾向,リンパ節腫脹,{not found: }","","","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07","","","","","","","","","","","",""
"血液・造血器・リンパ系","症候","全身倦怠感","JlAKpWE","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","発熱,全身倦怠感,黄疸,貧血,出血傾向,リンパ節腫脹,{not found: }","","","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07","","","","","","","","","","","",""
"血液・造血器・リンパ系","症候","黄疸","JlAKpWI","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","発熱,全身倦怠感,黄疸,貧血,出血傾向,リンパ節腫脹,{not found: }","","","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07","","","","","","","","","","","",""
"血液・造血器・リンパ系","症候","リンパ節腫脹","JlAKpWM","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","発熱,全身倦怠感,黄疸,貧血,出血傾向,リンパ節腫脹,{not found: }","","","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07","","","","","","","","","","","",""
"血液・造血器・リンパ系","症候","貧血","JlAKpWQ","D-01-03-na-04, D-01-03-na-05,","貧血,出血傾向,{not found: }","","","","血栓傾向","","","","","","","","","","",""
"血液・造血器・リンパ系","症候","出血傾向","JlAKpWU","D-01-03-na-04, D-01-03-na-05,","貧血,出血傾向,{not found: }","","","","血栓傾向","","","","","","","","","","",""
"血液・造血器・リンパ系","症候","血栓傾向","JlAKpWY","D-01-03-na-04, D-01-03-na-05,","貧血,出血傾向,{not found: }","","","","血栓傾向","","","","","","","","","","",""
"血液・造血器・リンパ系","検査方法","末梢血塗抹","JlAKpWg","D-01-02-na-01","末梢血の血球数の基準値とその変化の意義を説明できる。","","","末梢血の血球数の基準値とその変化の意義","末梢血塗抹","シンプルな表現に（国試ガイドp8に従う）","","","","","","","","","",""
"血液・造血器・リンパ系","検査方法","凝固・線溶・血小板機能検査","JlAKpWk","","","","","","","新規","","","","","","","","","",""
"血液・造血器・リンパ系","検査方法","骨髄検査（骨髄穿刺、骨髄生検）","JlAKpWo","D-01-02-na-02","骨髄検査（骨髄穿刺、骨髄生検）を説明できる。","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","検査方法","輸血関連検査","JlAKpWs","","","","","","","新規","","","","","","","","","",""
"血液・造血器・リンパ系","検査方法","タンパク分画、免疫電気泳動","JlAKpWw","D-01-02-na-02","骨髄検査（骨髄穿刺、骨髄生検）を説明できる。","","","","免疫電気泳動","血清・尿があるので検体名は削除した","","","","","免疫固定法を追記","","","","",""
"血液・造血器・リンパ系","検査方法","遺伝子・染色体検査","JlAKpW0","","","","","","","新規","","","","","","","","","",""
"血液・造血器・リンパ系","特異的治療法","輸血","JlAKpW4","","","","","","","新規","","","","","","","","","",""
"血液・造血器・リンパ系","特異的治療法","造血幹細胞移植","JlAKpW8","","","","","","","新規","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血：鉄欠乏性貧血、二次性貧血（慢性疾患に伴う貧血）、造血不全症（発作性夜間ヘモグロビン尿症・再生不良性貧血・赤芽球癆*・骨髄異形成症候群）、溶血性貧血（自己免疫性・薬剤誘発性）、出血性貧血、腎性貧血、巨赤芽球性貧血（ビタミンB12欠乏性貧血・葉酸欠乏性貧血）、遺伝性貧血（サラセミア・遺伝性球状赤血球症・鎌状赤血球症）","JlAKpXA","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。","","","D-01-04-01-01",",D-01-04-01-03は造血不全症（発作性夜間ヘモグロビン尿症・再生不良性貧血・赤芽球癆・骨髄異形成症候群）,D-01-04-01-04は④溶血性貧血（自己免疫性・薬剤誘発性）、出血性貧血、腎性貧血,D-01-04-01-05は⑤巨赤芽球性貧血（ビタミンB12欠乏性貧血・葉酸欠乏性貧血）,D-01-04-01-06：遺伝性貧血（サラセミア・遺伝性球状赤血球症・鎌状赤血球症）","疾患名は医師国家試験出題基準に準拠。,鎌状赤血球症は基礎との関わり、医療の国際化を考え必要と判断しました（伴研究にはないが）","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向：免疫性血小板減少性紫斑病<ITP>、二次性血小板減少症（脾機能亢進症・薬剤性）、血友病、播種性血管内凝固<DIC>、溶血性尿毒症症候群<HUS>、➅血栓性血小板減少性紫斑病<TTP>、ビタミンK欠乏症、von Willebrand病","JlAKpXE","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","出血傾向の病因、病態、症候と診断を説明できる。,免疫性血小板減少性紫斑病(immune thrombocytopenic purpura <ITP>)の病態、症候、診断と治療を説明できる。,血友病の病態、症候、診断、治療と遺伝形式を説明できる。,播種性血管内凝固(disseminated intravascular coagulation <DIC>)の基礎疾患、病態、診断と治療を説明できる。,溶血性尿毒症症候群(hemolytic-uremic syndrome <HUS>)の基礎疾患、病態、診断と治療を説明できる。,IgA血管炎(Schönlein-Henoch紫斑病)を概説できる。,血栓性血小板減少性紫斑病(thrombotic thrombocytopenic purpura <TTP>)を概説できる。","< >の修正","","D-01-04-02-01","新D-01-04-02-01は旧のD-01-04-02-02です。順番を入れ替えました。","紫斑（単純性紫斑・老人性紫斑）そのものはD3皮膚系へ,IgA血管炎はE4免疫・アレルギーに","","","","","","","","","","➅血栓性血小板減少性紫斑病<TTP>のタイポ"
"血液・造血器・リンパ系","疾患・病態","血栓傾向：プロテインC・プロテインS・アンチトロンビン欠乏症、抗リン脂質抗体症候群、TTP、HUS、DIC","JlAKpXI","","","","","","D-01-04-03","出血傾向と重複するTTP、HUS、DICをどうするか→重複掲載可で。","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患：急性骨髄性白血病、急性リンパ性白血病、骨髄増殖性疾患（慢性骨髄性白血病・真性赤血球増加症・本態性血小板血症・原発性骨髄線維症）、慢性リンパ性白血病、リンパ増殖性疾患、成人T 細胞白血病、悪性リンパ腫（Hodgkinリンパ腫・濾胞性リンパ腫・びまん性大細胞型B細胞リンパ腫・末梢T細胞性リンパ腫・Burkittリンパ腫・MALTリンパ腫）、多発性骨髄腫、マクログロブリン血症、意義不明の単クローン性免疫グロブリン症〈MGUS〉　※腫瘍の項目にも掲載","JlAKpXM","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","急性白血病の病態、症候、病理所見、治療と予後を説明できる。,急性白血病のFrench-American-British <FAB>分類、WHO分類を概説できる。,慢性骨髄性白血病の病態、症候、病理所見、治療と予後を説明できる。,骨髄異形成症候群(myelodysplastic syndromes <MDS>)の臨床像と病理所見を説明できる。,成人T細胞白血病の病因、疫学、臨床所見、病理所見を説明できる。,小児白血病と成人白血病の違いを説明できる。,真性赤血球増加症・本態性血小板血症、骨髄線維症の病因、病態、診断と治療を説明できる。,悪性リンパ腫の分類を概説し、病態、症候、病理所見、治療と予後を説明できる。,多発性骨髄腫の病態、症候、診断、治療と予後を説明できる。","","","D-01-04-04-02, D-01-04-04-04, D-01-04-04-06","D-01-04-04-02, D-01-04-04-04, D-01-04-04-06","D-01-04-04-01は骨髄性、リンパ性で-01と-02とに分割,D-01-04-04-03と-07は骨髄増殖性疾患で統合,D-01-04-04-04　MDSは貧血へ。その代わり慢性リンパ性白血病、リンパ増殖性疾患を追加,D-01-04-04-08 悪性リンパ腫は学生時代に覚えておくべきものをリストアップ,D-01-04-04-09 に2疾患追加","","","","","","","","","",""
