"index","第1層（大項目）","第2層（中項目）","第3層（小項目）","第4層（細小項目）","第5層（学修目標）"
1.0,"A 医師として求められる基本的な資質・能力","A-1 プロフェッショナリズム","A-1-1) 医の倫理と生命倫理","なし","①医学・医療の歴史的な流れとその意味を概説できる。"
2.0,"A 医師として求められる基本的な資質・能力","A-1 プロフェッショナリズム","A-1-1) 医の倫理と生命倫理","なし","②臨床倫理や生と死に関わる倫理的問題を概説できる。"
3.0,"A 医師として求められる基本的な資質・能力","A-1 プロフェッショナリズム","A-1-1) 医の倫理と生命倫理","なし","③ヒポクラテスの誓い、ジュネーブ宣言、医師の職業倫理指針、医師憲章等医療の倫理に関する規範を概説できる。"
4.0,"A 医師として求められる基本的な資質・能力","A-1 プロフェッショナリズム","A-1-2) 患者中心の視点","なし","①リスボン宣言等に示された患者の基本的権利を説明できる。"
5.0,"A 医師として求められる基本的な資質・能力","A-1 プロフェッショナリズム","A-1-2) 患者中心の視点","なし","②患者の自己決定権の意義を説明できる。"
6.0,"A 医師として求められる基本的な資質・能力","A-1 プロフェッショナリズム","A-1-2) 患者中心の視点","なし","③選択肢が多様な場合でも適切に説明を行い患者の価値観を理解して、患者の自己決定を支援する。"
7.0,"A 医師として求められる基本的な資質・能力","A-1 プロフェッショナリズム","A-1-2) 患者中心の視点","なし","④インフォームド・コンセントとインフォームド・アセントの意義と必要性を説明できる。"
8.0,"A 医師として求められる基本的な資質・能力","A-1 プロフェッショナリズム","A-1-3) 医師としての責務と裁量権","なし","①診療参加型臨床実習において患者やその家族と信頼関係を築くことができる。"
9.0,"A 医師として求められる基本的な資質・能力","A-1 プロフェッショナリズム","A-1-3) 医師としての責務と裁量権","なし","②患者やその家族のもつ価値観や社会的背景が多様であり得ることを認識し、そのいずれにも柔軟に対応できる。"
10.0,"A 医師として求められる基本的な資質・能力","A-1 プロフェッショナリズム","A-1-3) 医師としての責務と裁量権","なし","③医師が患者に最も適した医療を勧めなければならない理由を説明できる。"
11.0,"A 医師として求められる基本的な資質・能力","A-1 プロフェッショナリズム","A-1-3) 医師としての責務と裁量権","なし","④医師には能力と環境により診断と治療の限界があることを説明できる。"
12.0,"A 医師として求められる基本的な資質・能力","A-1 プロフェッショナリズム","A-1-3) 医師としての責務と裁量権","なし","⑤医師の法的義務を列挙し、例示できる。"
13.0,"A 医師として求められる基本的な資質・能力","A-2 医学知識と問題対応能力","A-2-1) 課題探求・解決能力","なし","①必要な課題を自ら発見できる。"
14.0,"A 医師として求められる基本的な資質・能力","A-2 医学知識と問題対応能力","A-2-1) 課題探求・解決能力","なし","②自分に必要な課題を、重要性・必要性に照らして順位付けできる。"
15.0,"A 医師として求められる基本的な資質・能力","A-2 医学知識と問題対応能力","A-2-1) 課題探求・解決能力","なし","③課題を解決する具体的な方法を発見し、課題を解決できる。"
16.0,"A 医師として求められる基本的な資質・能力","A-2 医学知識と問題対応能力","A-2-1) 課題探求・解決能力","なし","④課題の解決に当たり、他の学修者や教員と協力してよりよい解決方法を見出すことができる。"
17.0,"A 医師として求められる基本的な資質・能力","A-2 医学知識と問題対応能力","A-2-1) 課題探求・解決能力","なし","⑤適切な自己評価ができ、改善のための具体的方策を立てることができる。"
18.0,"A 医師として求められる基本的な資質・能力","A-2 医学知識と問題対応能力","A-2-2) 学修の在り方","なし","①講義、国内外の教科書・論文、検索情報等の内容について、重要事項や問題点を抽出できる。"
19.0,"A 医師として求められる基本的な資質・能力","A-2 医学知識と問題対応能力","A-2-2) 学修の在り方","なし","②得られた情報を統合し、客観的・批判的に整理して自分の考えを分かりやすく表現できる。"
20.0,"A 医師として求められる基本的な資質・能力","A-2 医学知識と問題対応能力","A-2-2) 学修の在り方","なし","③実験・実習の内容を決められた様式に従って文書と口頭で発表できる。"
21.0,"A 医師として求められる基本的な資質・能力","A-2 医学知識と問題対応能力","A-2-2) 学修の在り方","なし","④後輩等への適切な指導が実践できる。"
22.0,"A 医師として求められる基本的な資質・能力","A-2 医学知識と問題対応能力","A-2-2) 学修の在り方","なし","⑤各自の興味に応じて選択制カリキュラム（医学研究等）に参加する。"
23.0,"A 医師として求められる基本的な資質・能力","A-3 診療技能と患者ケア","A-3-1) 全人的実践的能力","なし","①病歴（主訴、現病歴、既往歴、家族歴、生活歴、社会歴・職業歴、システムレビュー等）を適切に聴取するとともに患者との良好な関係を構築し、必要に応じて患者教育を行える。"
24.0,"A 医師として求められる基本的な資質・能力","A-3 診療技能と患者ケア","A-3-1) 全人的実践的能力","なし","②網羅的に系統立てて適切な順序で効率的な身体診察を行える。異常所見を認識・記録し、適切な鑑別診断が行える。"
25.0,"A 医師として求められる基本的な資質・能力","A-3 診療技能と患者ケア","A-3-1) 全人的実践的能力","なし","③基本的な臨床技能（適応、実施方法、合併症、注意点）を理解し、適切な態度で診断や治療を行える。"
26.0,"A 医師として求められる基本的な資質・能力","A-3 診療技能と患者ケア","A-3-1) 全人的実践的能力","なし","④診療録（カルテ）についての基本的な知識を修得し、問題志向型医療記録(problem-oriented medical record <POMR>)形式で診療録を作成し、必要に応じて医療文書を作成できる。"
27.0,"A 医師として求められる基本的な資質・能力","A-3 診療技能と患者ケア","A-3-1) 全人的実践的能力","なし","⑤患者の病状（症状、身体所見、検査所見等）、プロブレムリスト、鑑別診断、臨床経過、治療法の要点を提示し、医療チーム構成員と意見交換ができる。"
28.0,"A 医師として求められる基本的な資質・能力","A-3 診療技能と患者ケア","A-3-1) 全人的実践的能力","なし","⑥緊急を要する病態や疾患・外傷の基本的知識を説明できる。診療チームの一員として救急医療に参画できる。"
29.0,"A 医師として求められる基本的な資質・能力","A-3 診療技能と患者ケア","A-3-1) 全人的実践的能力","なし","⑦慢性疾患や慢性疼痛の病態、経過、治療を説明できる。医療を提供する場や制度に応じて、診療チームの一員として慢性期医療に参画できる。"
30.0,"A 医師として求められる基本的な資質・能力","A-3 診療技能と患者ケア","A-3-1) 全人的実践的能力","なし","⑧患者の苦痛や不安感に配慮しながら、就学・就労、育児・介護等との両立支援を含め患者と家族に対して誠実で適切な支援を行える。"
31.0,"A 医師として求められる基本的な資質・能力","A-4 コミュニケーション能力","A-4-1) コミュニケーション","なし","①コミュニケーションの方法と技能（言語的と非言語的）を説明し、コミュニケーションが態度あるいは行動に及ぼす影響を概説できる。"
32.0,"A 医師として求められる基本的な資質・能力","A-4 コミュニケーション能力","A-4-1) コミュニケーション","なし","②コミュニケーションを通じて良好な人間関係を築くことができる。"
33.0,"A 医師として求められる基本的な資質・能力","A-4 コミュニケーション能力","A-4-1) コミュニケーション","なし","③患者・家族の話を傾聴し、共感することができる。"
34.0,"A 医師として求められる基本的な資質・能力","A-4 コミュニケーション能力","A-4-2) 患者と医師の関係","なし","①患者と家族の精神的・身体的苦痛に十分配慮できる。"
35.0,"A 医師として求められる基本的な資質・能力","A-4 コミュニケーション能力","A-4-2) 患者と医師の関係","なし","②患者に分かりやすい言葉で説明できる。"
36.0,"A 医師として求められる基本的な資質・能力","A-4 コミュニケーション能力","A-4-2) 患者と医師の関係","なし","③患者の心理的及び社会的背景や自立した生活を送るための課題を把握し、抱える問題点を抽出・整理できる。"
37.0,"A 医師として求められる基本的な資質・能力","A-4 コミュニケーション能力","A-4-2) 患者と医師の関係","なし","④医療行為が患者と医師の契約的な信頼関係に基づいていることを説明できる。"
38.0,"A 医師として求められる基本的な資質・能力","A-4 コミュニケーション能力","A-4-2) 患者と医師の関係","なし","⑤患者の要望（診察・転医・紹介）への対処の仕方を説明できる。"
39.0,"A 医師として求められる基本的な資質・能力","A-4 コミュニケーション能力","A-4-2) 患者と医師の関係","なし","⑥患者のプライバシーに配慮できる。"
40.0,"A 医師として求められる基本的な資質・能力","A-4 コミュニケーション能力","A-4-2) 患者と医師の関係","なし","⑦患者情報の守秘義務と患者等への情報提供の重要性を理解し、適切な取扱いができる。"
41.0,"A 医師として求められる基本的な資質・能力","A-5 チーム医療の実践","A-5-1) 患者中心のチーム医療","なし","①チーム医療の意義を説明できる。"
42.0,"A 医師として求められる基本的な資質・能力","A-5 チーム医療の実践","A-5-1) 患者中心のチーム医療","なし","②医療チームの構成や各構成員（医師、歯科医師、薬剤師、看護師、その他の医療職）の役割分担と連携・責任体制を説明し、チームの一員として参加できる。"
43.0,"A 医師として求められる基本的な資質・能力","A-5 チーム医療の実践","A-5-1) 患者中心のチーム医療","なし","③自分の能力の限界を認識し、必要に応じて他の医療従事者に援助を求めることができる。"
44.0,"A 医師として求められる基本的な資質・能力","A-5 チーム医療の実践","A-5-1) 患者中心のチーム医療","なし","④保健、医療、福祉と介護のチーム連携における医師の役割を説明できる。"
45.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-1) 安全性の確保","なし","①実際の医療には、多職種が多段階の医療業務内容に関与していることを具体的に説明できる。"
46.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-1) 安全性の確保","なし","②医療上の事故等を防止するためには、個人の注意（ヒューマンエラーの防止）はもとより、組織的なリスク管理（制度・組織エラーの防止）が重要であることを説明できる。"
47.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-1) 安全性の確保","なし","③医療現場における報告・連絡・相談と記録の重要性や、診療録（カルテ）改竄の違法性を説明できる。"
48.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-1) 安全性の確保","なし","④医療の安全性に関する情報（薬剤等の副作用、薬害、医療過誤（事例や経緯を含む）、やってはいけないこと、優れた取組事例等）を共有し、事後に役立てるための分析の重要性を説明できる。"
49.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-1) 安全性の確保","なし","⑤医療の安全性確保のため、職種・段階に応じた能力向上の必要性を説明できる。"
50.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-1) 安全性の確保","なし","⑥医療機関における医療安全管理体制の在り方（事故報告書、インシデントレポート、医療事故防止マニュアル、医療廃棄物処理、医療安全管理者（リスクマネージャー）、安全管理委員会、事故調査委員会、医療事故調査制度、産科医療補償制度）を概説できる。"
51.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-1) 安全性の確保","なし","⑦医療関連感染症の原因及び回避する方法（院内感染対策委員会、院内感染サーベイランス、院内感染対策チーム(infection control team <ICT>)、感染対策マニュアル等)を概説できる。"
52.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-1) 安全性の確保","なし","⑧真摯に疑義に応じることができる。"
53.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-2) 医療上の事故等への対処と予防","なし","①医療上の事故等（インシデントを含む）と合併症の違いを説明できる。"
54.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-2) 医療上の事故等への対処と予防","なし","②医療上の事故等（インシデントを含む）が発生したときの緊急処置や記録、報告を説明し、実践できる。"
55.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-2) 医療上の事故等への対処と予防","なし","③医療過誤に関連した刑事・民事責任や医師法に基づく行政処分を説明できる。"
56.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-2) 医療上の事故等への対処と予防","なし","④基本的予防策（ダブルチェック、チェックリスト法、薬品名称の改善、フェイルセイフ・フールプルーフの考え方等）を概説し、指導医の指導の下に実践できる。"
