"第2層","第3層","第4層","UID","H28対応項目","H28表記","第4層(技術参与清書)","第4層(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","Unnamed: 14","査読への返答","A","B","C","D","E","F","G","H","I","全体編集メモ"
"患者に接する言葉遣い・態度・身だしなみ・配慮","非言語コミュニケーションの重要性を理解した実践","","JkxhhVM","F-03-02-na-01","適切な身だしなみ、言葉遣い及び態度で患者に接することができる。","患者に接するときの身だしなみに配慮できる。","患者に接するときの身だしなみに配慮できる。","削除","９に包含",2.0,"","削除","","","査読コメントなし","","","","","","","","","",""
"患者に接する言葉遣い・態度・身だしなみ・配慮","非言語コミュニケーションの重要性を理解した実践","","JkxhhVQ","A-04-01-na-01","コミュニケーションの方法と技能（言語的と非言語的）を説明し、コミュニケーションが態度あるいは行動に及ぼす影響を概説できる。","患者に接するときの視線、表情、ジェスチャーに配慮できる。","患者に接するときの視線、表情、ジェスチャーに配慮できる","削除","９に包含。",2.0,"","削除","","","非言語コミュニケーションというのは3層にあるため、4層では具体的記載にしています。","","","","","","非言語メッセージという文言は不要でしょうか。","","","",""
"患者に接する言葉遣い・態度・身だしなみ・配慮","患者のプライバシーへの配慮","","JkxhhVU","F-03-05-01-03","患者のプライバシー、羞恥心、苦痛に配慮し、個人情報等を守秘できる。","患者のプライバシー、羞恥心、苦痛に配慮できる。","患者のプライバシー、羞恥心、苦痛に配慮し、個人情報等を守秘できる。","削除","15に包含",2.0,"","削除","F-03-05-01-03　C-7と統合してC-6を残す","第３層のプライバシーをプライバシー（守秘義務）に変更してはどうかと（他チーム査読）：却下","個人情報等の守秘はC-5と同一なので削除し、他を残しました。","下の項目と重複しているので、個人情報はここに描かないほうがよいと思います。","","6で患者情報の守秘を扱っているので、「〜、苦痛に配慮できる」でよいのでは？","","","個人情報は不要そうです。６行目にあり。","","","",""
"患者に接する言葉遣い・態度・身だしなみ・配慮","患者のプライバシーへの配慮","","JkxhhVY","A-04-02-na-07","患者情報の守秘義務と患者等への情報提供の重要性を理解し、適切な取扱いができる。","患者情報の守秘義務と患者等への情報提供の重要性を理解し、適切な取扱いができる。","患者情報の守秘義務と患者等への情報提供の重要性を理解し、適切な取扱いができる。","削除","何に対する「適切な取り扱い」なのかが不明。患者への情報提供については他になければ項目追加か？守秘義務はプロフェッショナリズムに引越し","","患者情報の守秘義務と患者等への情報提供の重要性を理解し、適切な取扱いができる。","","A-04-02-00-07","","（重複しているか確認し、他チームに重複記載内容が無いことを確認しました","まだ探してはいませんが、今回の改訂で個人情報等の守秘は別チームが扱っているはずだと思います。重複してもいいですが、相互に参照を貼っておくと重複項目がはっきりしていいと思います。","","","","","","","","患者ケアのための診療技能211と重複しますでしょうか。どちらかに統一してもよろしいかもしれません。",""
"患者に接する言葉遣い・態度・身だしなみ・配慮","患者・家族への適切なコミュニケーションスキルの活用","","JkxhhVc","F-03-02-na-02","医療面接における基本的コミュニケーション技法を用いることができる。","医療面接における基本的コミュニケーションスキルを用いることができる。","医療面接における基本的コミュニケーションスキルを用いることができる。","削除","技能に引越し。",2.0,"","削除","F-03-02-00-02","","チームでは、「基本的」はこのままの表記で、内容は各大学で考えていただくということではどうかとの意見になった。","基本的とは何を指しますか？","","基本的コミュニケーションスキルとは具体的に何か記載がないと、カリキュラム立案に反映しにくい。入れるとしても「医療面接において」では。","","漠とした問。削除（4で代替可）では？","８行目他とダブり感がありますが、医療面接という場面が重要といういこととすれば理解できます。","","","",""
"患者に接する言葉遣い・態度・身だしなみ・配慮","患者・家族への適切なコミュニケーションスキルの活用","コミュニケーションが患者-医師間の互いの態度・行動や役割に及ぼす影響を考慮することができる","JkxhhVg","A-04-01-na-01","コミュニケーションの方法と技能（言語的と非言語的）を説明し、コミュニケーションが態度あるいは行動に及ぼす影響を概説できる。","コミュニケーションが患者-医師間の互いの態度・行動や役割に及ぼす影響を考慮し、言語的および非言語的コミュニケーションスキルを発揮して、良好な人間関係を築くことができる。","コミュニケーションが患者-医師間の互いの態度・行動や役割に及ぼす影響を考慮し、言語的および非言語的コミュニケーションスキルを発揮して、良好な人間関係を築くことができる。コミュニケーションの方法と技能（言語的と非言語的）を理解（説明）し、コミュニケーションが態度あるいは行動に及ぼす影響を活用できる。","コミュニケーションが患者-医師間の互いの態度・行動や役割に及ぼす影響を考慮することができる","査読者Cの意見を反映。３つの内容を１つの項目にしてしまっているので、分離した。この項目で2,3,6を包含している。",2.0,"","コミュニケーションが患者-医師間の互いの態度・行動や役割に及ぼす影響を考慮することができる","A-04-01-00-01","","査読者Cのご指摘を参考にし、記載内容を変更しました。","理解（説明）し、どちらかでいいと思います。卒業時レベルなら、理解しでよいのでは。
誰の態度あるいは行動か？「理解し、活用できる」とシンプルにしてはどうか。","（）はない方が良い。影響を活用できる、という日本語が変","コミュニケーション技能はOSCE等でパフォーマンスレベルをすでに評価している。態度・行動は誰のかが具体的なほうがよい。影響を活用するとはどういうことかわかりにくい。「コミュニケーションが医師患者間の互いの態度・行動や役割に及ぼす影響を考慮し、言語的および非言語的コミュニケーション技能を発揮して、良好な人間関係を築くことができる。」","","","","","","4とまとめられますでしょうか。",""
"患者に接する言葉遣い・態度・身だしなみ・配慮","患者・家族への適切なコミュニケーションスキルの活用","言語的コミュニケーション技能を発揮して、良好な人間関係を築くことができる。","Jli9Pdc","","","","","言語的コミュニケーション技能を発揮して、良好な人間関係を築くことができる。","",2.0,"","言語的コミュニケーション技能を発揮して、良好な人間関係を築くことができる。","","","{not found: Jli9Pdc}","","","","","","","","","",""
"患者に接する言葉遣い・態度・身だしなみ・配慮","患者・家族への適切なコミュニケーションスキルの活用","非言語的コミュニケーション（身だしなみ、視線、表情、ジェスチャーなど）を意識できる。","Jli9Pdk","","","","","非言語的コミュニケーション（身だしなみ、視線、表情、ジェスチャーなど）を意識できる。","",2.0,"","非言語的コミュニケーション（身だしなみ、視線、表情、ジェスチャーなど）を意識できる。","","","{not found: Jli9Pdk}","","","","","","","","","","【宮地】非言語と言語的コミュニケーションをわけてそれぞれ人間関係の構築に活用することは実際にあまりないと思うので、8と一緒にしてもよいのでは？"
"患者に接する言葉遣い・態度・身だしなみ・配慮","患者・家族への適切なコミュニケーションスキルの活用","","JkxhhVk","A-04-01-na-02","コミュニケーションを通じて良好な人間関係を築くことができる。","","削除：コミュニケーションを通じて良好な人間関係を築くことができる。","","","","","","A-04-01-00-02","","C-7,C-9の内容にまとめられると判断して削除しました。","３層目にあるので要らないかもしれませんが、「患者・家族と」","8にまとめる","8にまとめてよいのでは","","漠とした問。他の項目でカバーできるので削除で良いのでは？","","","8と合併でどうでしょうか","",""
"患者に接する言葉遣い・態度・身だしなみ・配慮","患者・家族への適切なコミュニケーションスキルの活用","相手の話を聞き、事実や自分の意見を相手にわかるように述べることができる","JkxhhVo","C-05-07-na-06","話し手と聞き手の役割を説明でき、適切なコミュニケーションスキルが使える。","話し手と聞き手の役割を理解（説明）でき、適切なコミュニケーションスキルが使える。","話し手と聞き手の役割を理解（説明）でき、適切なコミュニケーションスキルが使える。","相手の話を丁寧に聞いた上で、それに対して事実や自分の意見を相手にわかるように述べることができる","査読者Aの意見
これを一番最初に持ってくるか？","","相手の話を聞き、事実や自分の意見を相手にわかるように述べることができる","","C-05-07-00-06","8行を削除し､9列とまとめた","8とまとめて残りました。","これは改めて必要か？","8にまとめる","8にまとめてよいのでは？","","同上","","","","",""
