"第2層","第3層","第4層","H28対応項目","メモ"
"信頼","誠実さ","どのように行動すれば患者や社会に対して誠実に振る舞えるか？","A-01-03-na-01","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"信頼","誠実さ","社会から信頼される専門職集団であるためにはどのように行動すればよいか？","A-01-03-na-01","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"信頼","誠実さ","どのように行動すれば守秘義務を遵守できるか？","A-04-02-na-07","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"信頼","省察","どのようにすれば自分自身の限界を適切に認識できるか？","A-01-03-na-04","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"信頼","省察","他者からのフィードバックを受け入れられるにはどのような心持ちでいればよいか？","新設","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"信頼","説明責任","わかりやすく正確な説明を行うにはどのようにすればよいか？","A-01-02-na-03","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"信頼","自律性","患者が適切に意思決定できるようするためにはどのように支援すればよいか？","A-01-02-na-02，A-01-02-na-03","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"思いやり","思いやりと利他","患者を含めた他者に思いやりをもって接するにはどのように行動すればよいか？","A-01-02-na-01","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"思いやり","思いやりと利他","利己と利他をどのように両立させるか？","新設","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"思いやり","思いやりと利他","自分自身の精神的・身体的健康をどのように管理すればよいか？","新設","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"思いやり","他者理解と自己理解","他者を理解するためにはどのようなことを知る必要があるか？","A-01-02-na-01,A-01-03-na-02","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"思いやり","他者理解と自己理解","他者を適切に理解するための妨げとなる自分や自集団の偏見とはどのようなものか？","A-01-03-na-02, A-01-02-na-01","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"思いやり","品格・礼儀","礼儀正しく振る舞うにはどのように行動すればよいか？","新設","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"思いやり","品格・礼儀","医師に求められる品格とは何か？","新設","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"社会正義","医療資源の公平な分配","医療資源を公平に分配するにはどのように行動すればよいか？（保留）","新設","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している"
"社会正義","社会的弱者への配慮","社会的弱者とはどのような人たちを指すのか？","",""
"社会正義","社会的弱者への配慮","社会的弱者の健康問題を解決するためにどのように行動すればよいか？","",""
