"第2層","第3層","第4層","UID","H28対応項目","H28表記","第4層(技術参与清書)","第4層(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント(あれば)","第4層(計算列)","メモ","メモ２","査読への返答","A","B","C","D","E","F","G","H","I","全体編集メモ"
"信頼","誠実さ","患者や社会に対して誠実である行動とはどのようなものかを考え、そのように行動する。","JkxiJUs","A-01-03-na-01","診療参加型臨床実習において患者やその家族と信頼関係を築くことができる。","患者や社会に対して誠実であるとはどういうことか考え適切に行動することができる。","患者や社会に対して誠実であるとはどういうことか考え適切に行動することができる。","患者や社会に対して誠実である行動とはどのようなものかを考え、そのように行動することができる。","",2.0,"","患者や社会に対して誠実である行動とはどのようなものかを考え、そのように行動することができる。","","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","平叙文で記述すると「当たり前の行動原則」について書かれているように学習者・教育者に感じられるのではないかと思われます。しかし、現場においては、この「当たり前の行動原則」に則ることができない状況というものが多々発生し、その際に問われるのが「職業倫理規範」（プロフェッショナリズム）なのではないだろうか、と考えました。そして、そういった困難を伴う状況において「どうすれば良いだろうか？」を自ら考え続け、行動することが、今後求められるのではないか、と考えております。このため、今回「以下について考え続けそして適切に行動できる」という文言を文頭におき、以下を「問い」としてみました。全体会議でご討議いただいた結果を受けまして、問いではなく「考える」という要素を含んだ平叙文に書きかえました。","問いは斬新だが、到達すべき目標としては学修者にわかりにくく、評価も行いにくい（以下同文でこれ以降の記載は省略する）
・患者や社会に対して誠実に振る舞うことの重要性を「説明でき」「研修医1日目には実際に身につけている」など具体的な動詞は難しいですが","","","","最も教育効果が小さい資質であり、漠とした問なので割愛","表現についてですが、振る舞う　は、医師・医療ではなじまない気がしました。本心は　違う　というニュアンスがはいってしまうのでは。","","","",""
"信頼","誠実さ","社会から信頼される専門職集団の一員であるためにはどのように行動すべきかを考え、そのように行動することができる。
","JkxiJUw","A-01-03-na-01","診療参加型臨床実習において患者やその家族と信頼関係を築くことができる。","社会から信頼される専門職集団の一員であるためにはどうすれば良いか考え適切に行動することができる。","社会から信頼される専門職集団の一員であるためにはどうすれば良いか考え適切に行動することができる。","社会から信頼される専門職集団の一員であるためにはどのように行動すべきかを考え、そのように行動することができる。
","査読者A, Cの意見を反映","","社会から信頼される専門職集団の一員であるためにはどのように行動すべきかを考え、そのように行動することができる。
","","","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","一員を追記しました。","・・・集団であることは、学修者の目標になるでしょうか。
社会から信頼される専門職の一員であるための行動には、どのような要素があるのか説明でき、実際の行動に結びつけることができる","","「信頼される専門職集団の一員であるためにはどのように行動すればよいか？」Community of Practiceへの参加を意識した提案です。","","","","","","","【宮地】「...であるためにはどのように行動すべきか...」に変更？"
"信頼","誠実さ","","JkxiJU0","A-04-02-na-07","患者情報の守秘義務と患者等への情報提供の重要性を理解し、適切な取扱いができる。","","削除：どのように行動すれば守秘義務を遵守できるか？","患者に関する情報の守秘義務を遵守する。","コミュから引越し。","","","","「情報」にあれば「情報」で取り扱っていただく・なければプロフェッショナリズムで・下記「患者安全」の「患者の安全を守るとはどういうことか？」に含有されるため、「患者安全」で扱う。ただし、「患者安全」については「技能」で扱う、という案もある。","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","A/H:情報への移動を検討いただければと思いますが、コミュニケーションに入るならばそちらでも良いのかもしれません。情報・コミュニケーション・患者安全の中でどこに置くのが良いのか検討が必要だと思われます。C:「~できるか？」としたのは「できる」ことを前提としている、という意味を含んでおります。その上で、遵守しようとしてもいかんともできない場合（状況）について問いたいと考えているためこの文言といたしました。","守秘は情報で扱われると思います
大切なことなので、ここで扱うことはよいと思いますが、情報と関連づけ（参照）がされるといいと思います","","「何が守秘義務の遵守を妨げるか？」望ましい態度としての表現でなくてもよいなら、こちらの問いのほうが表面的でない思考を促せるように思いました。","","","","","守秘義務についてはコミュニケーションの6でもでてきます。どちらかに統一すべきでしょうか？","",""
"信頼","省察","自分自身の限界を適切に認識し行動する。","JkxiJU4","A-01-03-na-04","医師には能力と環境により診断と治療の限界があることを説明できる。","自分自身の限界を適切に認識し行動できる。","自分自身の限界を適切に認識し行動できる。","自分自身の限界を適切に認識し行動できる。","ママ","","自分自身の限界を適切に認識し行動する。","","","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","A:問いにした理由は上記の通りです。（A2)　C:総合の省察とこの項目はご指摘いただいた通り関連があります。総合の省察において、強み・弱みについて考えることも想定しておられると思いますが、このプロフェッショナリズムは、自分自身ができないことにいかに気付くことができるのか（できないのか）という点に焦点をあてました。そして、「認識する」に止まらず、それを「認識」する個人の態度と、個人がその仕組み（環境）を作っていくことも含め考えてほしい、と考えてこの問いとしました。また、バーンアウトもこの「限界」の中に含まれていると考えいますが一要素（帰結）であると考え言葉としては残しませんでした。バーンアウトに関しては、患者安全と医療の質でも、医師の精神的・身体的限界についての項目があり、そちらでも扱えるのではないかと考えています。H:ご指摘いただいた通り、「限界」を認識する際には、フィードバックを受け入れることも含まれるかと思います。","自身の限界を認識する習慣を身につけ、医師になるものとしての行動に結びつけることができる","","総合と技能で扱われている省察との関連を考えると、限界だけではなく、自分自身の特性、強みと弱みが表現できるといいと思いました。B-04-01-na-10　バーンアウトリスクについてはどこにも反映されていませんが、「バーンアウトリスク」というキーワードは残しますか？","","","","","自分自身の限界を受け止めることと他者のフィードバックを受け入れることは近いのではないかと感じますので、５と６はひとまとめでもいいのかなと思いました。","",""
"信頼","省察","他者からのフィードバックを適切に受け入れる。","JkxiJU8","","","他者からのフィードバックを適切に受け入れることができる。","他者からのフィードバックを適切に受け入れることができる。","他者からのフィードバックを適切に受け入れる。","ママ",2.0,"","他者からのフィードバックを適切に受け入れる。","","新設,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","問いにした理由は上記の通りでしたが、全体会議での討論の結果、平叙文といたしました。（A2)　C:他者からのフィードバックを受け入れる際の障壁について考えたところで停止するのではなく、「受け入れること」について考えてもらうための問いかけとして考えてみました。（ここでは考えることとして、「謙虚さ」「自らを省みること」「複眼的視点」「メタ視点」などを想定しています。）E:ここでは個人の可変性について想定しています。（今回のプロフェッショナリズムは、医師人生をかけて涵養し続けるものという前提のもと作成してみております。）また、フィードバックの仕方については生涯学習の中の成人学習理論・協働学習に含まれているのではないかと思われます。","他者からのフィードバックを受け入れる方法を持ち、受け入れる態度を身につけている","","考えるのが難しい問いだと思いました。「何が他者からのフィードバックを受け入れることの障壁になるか？」のほうが考えやすいですし、文献もたくさんあります。","","心持ちを変えるのは困難。むしろフィードバックの仕方を工夫した方が実効性がある。∴省察の元では割愛→他所へ移せないか？","","","","",""
"信頼","説明責任","","JkxiJVA","A-01-02-na-03","選択肢が多様な場合でも適切に説明を行い患者の価値観を理解して、患者の自己決定を支援する。","わかりやすく正確な説明とはどのようなものか理解できる。","わかりやすく正確な説明とはどのようなものか理解できる。","削除","コミュで同様の項目あり","","","","","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","誰に対しても・話す相手に応じて話すことができる能力を想定しています。I: 患者さんたちの意思決定に限らず、様々な人々との会話において「相手に伝わる」ように話すことを目指すためにどうすれば良いか、を尋ねる問いにしておりました。全体会議での討論の結果、兵序文とし、「説明する」ではなく、「説明を理解する」段階にとどめております。","わかりやすく正確な説明を行うことができる
誰への説明ですか？","","","","","","","","「意思決定のために」を追記してはいかがでしょうか。",""
"信頼","自律性の尊重","","JkxiJVE","A-01-02-na-02，A-01-02-na-03","{not found: A-01-02-na-02，A-01-02-na-03}","患者の意思決定支援の方法を理解している。","患者の意思決定支援の方法を理解している。","削除","コミュで同様の項目","","","","","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","患者の自律性を尊重することを想定していました。「自律性の尊重」と変更しています。","ここで言う自律性とは患者の自律性でしょうか？それとも医師（医学生）の自律性でしょうか
第２層「信頼」というなかにおいてありますが、プロフェショナリズムのなかでの自律性はやはり医師の自律性だと思います","","","","","","","","説明責任に包含されませんでしょうか。",""
"思いやり","思いやり","患者を含めた他者に思いやりをもって接する。","JkxiJVI","A-01-02-na-01","リスボン宣言等に示された患者の基本的権利を説明できる。","患者を含めた他者に思いやりをもって接することができる。","患者を含めた他者に思いやりをもって接することができる。","患者を含めた他者に思いやりをもって接する。","ママ",2.0,"","患者を含めた他者に思いやりをもって接する。","","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","他項目でも「患者を含めた」は入っていないのですが「患者」を含んでいます。ここで「他者」といった時に、「他者とは誰か？」と疑問に思う方がおられるかもしれないと考え「患者も含めた」という文言を入れてみました。","","","「患者を含めた」を省略してもよいのでは？","","","","","他の項目では「患者を含めた」が入らないです。","",""
"思いやり","思いやり","他者に思いやりをもって接することができない場合の原因・背景を考える。","JkxiJVM","","","利他を優先できない状況について考えを述べることができる。","利他を優先できない状況について考えを述べることができる。","他者に思いやりをもって接することができない場合の原因・背景を考えることができる。","","","他者に思いやりをもって接することができない場合の原因・背景を考える。","","","新設,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","利他的であることは上の「思いやり」に含まれると考えております。そのため、「利他的に行動できる」は、「思いやりをもって他者に接することができる」（9）に含まれ得ると考えました。この「思いやりをもって他者に接することができる」ことを目指しつつ、そうはいっても、「利他的ではいられない状況」があり得るかと思います。こういった「利他的でいられない状況」について想定し、その時、自分はどうすべかを考えてもらうことができれば、と考えこの問いを作成しました。＞問いは全体会議の結果、平叙文にしておりますが、「考える」という文言は文中に残しております。","利他に相応するものを利己と置いてよいものでしょうか。言葉に酔っていると思います。
利己でない部分は多くの医師にありますが、その中でさらに利他的な態度と行動の重要性を認識し、行動にまでつながることを目標として明示してほしいです","","「利己と利他が両立し得なくなるのはどのような時か？」のほうが考えやすいと個人的には思います。","","新設のプライオリティは高くない。9に統合可能。","表現についてですが、利他的行動は、自分のためになるという展開は、初学者に対する医師・医療教育では若干なじまないのではと思いました。勘違いであれば申し訳ありません。","","","","【宮地】利他（Altruism）を思いやり（Compassion）に変換してしまうことで、損なわれるものはないか？"
"思いやり","思いやり","","JkxiJVQ","","","","削除：自分自身の精神的・身体的健康をどのように管理すればよいか？以下について考え続けそして適切に行動できる：","","","","","","","新設,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","これは医療の質・患者安全に移動しました。医療の質・患者安全は技能チームで扱っていただく予定です。","これは思いやりと利他ではないと思います。","","","","新設のプライオリティは高くない。メンタルハイジーンは、この項目に限らない普遍的な課題。","","","生涯9の医療従事者の健康管理と重なる部分があると思います。","",""
