"日付","変更の要約","責任者","バージョン"
"2022-01-20","新規作成","近藤猛","version0120"
"2022-01-31","形式を調整","近藤猛","version0131"
"2022-02-15","第4層「情報・科学技術を医療に活用することの重要性と社会的意義を認識する」を「説明できる」へ変更","今福輪太郎",""
"2022-02-15","第4層「デジタルデバイドによる医療格差や個人情報漏洩など…」の「個人情報漏洩」を削除および語句修正","今福輪太郎",""
"2022-02-15","第4層「ソーシャルメディア（インターネット、SNSなど）の利用…情報発信のあり方を理解する」を「理解し、実践できる」へ変更","今福輪太郎",""
"2022-02-15","第4層「コンピューター、タブレット端末、モバイル端末によるインターネットやモバイルアプリ…」の語句修正","今福輪太郎",""
"2022-02-15","第4層「…収集した情報およびデータを適切に分析・総括し…」を「データを基に」へ修正","今福輪太郎",""
"2022-02-15","第4層「新たに開発される情報・科学技術に順応し…習慣を身につける。」と「既存の医療関連デジタル技術…情報・科学技術について探索的に学ぶ。」の内容を統合し、新たな項目「医療に関連する情報・科学技術（医療情報システム、ウェアラブルデバイス…応用の可能性を議論できる」と「新たに登場する情報・科学技術…柔軟性を有する。」に再構成した。","今福輪太郎",""
"2022-02-15","第4層「専門家と議論する」の項目は、「専門家とともに応用する際に医療者に求められる役割を理解する」レベルへと変更","今福輪太郎",""
"2022-02-15","第4層「電子カルテの適切な表現】に関する項目は、「電子カルテの特性を踏まえた適切な記載や活用ができる。」という表現へ変更した。","今福輪太郎",""
"2022-02-15","追加項目にUIDを割り振りました","近藤猛",""
