"第2層","第3層","第4層","UID","H28対応項目","H28表記","第4層(技術参与清書)","第4層(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 24"
"情報・科学技術に向き合うための倫理観とルール","情報・科学技術に向き合うための準備","情報・科学技術を医療に活用することの重要性と社会的意義を理解している。","Jkxiflk","","","情報・科学技術を医療に活用することの重要性と社会的意義を説明できる。","情報・科学技術を医療に活用することの重要性と社会的意義を説明できる。","情報・科学技術を医療に活用することの重要性と社会的意義を理解している。","理解している、に変更",2.0,"","情報・科学技術を医療に活用することの重要性と社会的意義を理解している。","新設","「認識できる」から「説明できる」へ変更","認識する →  説明できる
コンピテンシーとして◯◯できるが可能ならそれがいいと思います","","他の項目のいわば総論的なもののように見えますが、他がほとんど実践レベルなので、「〜を説明できる」でもよいのでは","","","","","","",""
"情報・科学技術に向き合うための倫理観とルール","情報・科学技術に向き合うための準備","医療における情報・科学技術に関連する規制（法律、ガイドライン等）を理解している。","Jkxiflo","","","医療における情報・科学技術に関連する規制（法律、ガイドライン等）を説明できる。","医療における情報・科学技術に関連する規制（法律・ガイドラインを含む）を説明できる。","医療における情報・科学技術に関連する規制（法律、ガイドライン等）を理解している。","含む→等、理解しているに変更",2.0,"","医療における情報・科学技術に関連する規制（法律、ガイドライン等）を理解している。","新設","","","","","","","","","","",""
"情報・科学技術に向き合うための倫理観とルール","情報・科学技術に向き合うための準備","デジタルデバイド※による医療格差等、情報・科学技術の医療への活用で起こりうる倫理的問題を議論できる。","Jkxifls","","","デジタルデバイド※による医療格差等、情報・科学技術の医療への活用で起こりうる倫理的問題を議論できる。","デジタルデバイドによる医療格差など、情報・科学技術の医療への活用で起こりうる倫理的問題を議論できる。","デジタルデバイド※による医療格差等、情報・科学技術の医療への活用で起こりうる倫理的問題を議論できる。","など→等",2.0,"","デジタルデバイド※による医療格差等、情報・科学技術の医療への活用で起こりうる倫理的問題を議論できる。","新設","「個人情報漏洩」は削除","個人情報は下段で触れるので、準備の項目には不要ではないかと思います","","","","","","","","",""
"情報・科学技術に向き合うための倫理観とルール","情報・科学技術利用にあたっての倫理観とルール","電子カルテをはじめとする医療情報の管理・保管の原則について理解し、関連する規制（法律、倫理基準、個人情報保護のための規定等）を遵守できる。","Jkxiflw","B-02-02-na-01","診療録（カルテ）に関する基本的な知識（診療録の管理と保存（電子カルテを含む）、診療録の内容、診療情報の開示、プライバシー保護、セキュリティー、問題志向型医療記録<POMR>、主観的所見、客観的所見、評価、計画(subjective, objective, assessment, plan <SOAP>)）を説明でき、実際に作成できる。","電子カルテをはじめとする医療情報の管理・保管の原則について理解し、関連する規制（法律、倫理基準、個人情報保護のための規定等）を遵守できる。","電子診療録（カルテ）をはじめとする医療情報の管理・保管の原則について理解し、関連する規制（法律、倫理基準、個人情報保護のための規定など）を遵守できる。","電子カルテをはじめとする医療情報の管理・保管の原則について理解し、関連する規制（法律、倫理基準、個人情報保護のための規定等）を遵守できる。","電子診療録（カルテ）→電子カルテ
査読者Aの「情報全般」については３である程度触れていますので、ここは医療情報に焦点化することでよいかと思います",2.0,"","電子カルテをはじめとする医療情報の管理・保管の原則について理解し、関連する規制（法律、倫理基準、個人情報保護のための規定等）を遵守できる。","","","医療情報のみならず、広めに情報管理として記載可能でしょうか（研究グループの情報管理など多くのチームで情報管理の項目があります）","","","","","","遵守するのは当たり前なので、理解し、遵守できるなどでしょうか。","","",""
"情報・科学技術に向き合うための倫理観とルール","情報・科学技術利用にあたっての倫理観とルール","ソーシャルメディア（インターネット、SNS等）の利用における医療者として相応しい情報発信のあり方を理解し、実践できる。","Jkxifl0","","","ソーシャルメディア（インターネット、SNS等）の利用における医療者として相応しい情報発信のあり方を理解し、実践できる。","ソーシャルメディア（インターネット、SNSなど）の利用における医療者として相応しい情報発信のあり方を理解し、実践できる。","ソーシャルメディア（インターネット、SNS等）の利用における医療者として相応しい情報発信のあり方を理解し、実践できる。","など→等",2.0,"","ソーシャルメディア（インターネット、SNS等）の利用における医療者として相応しい情報発信のあり方を理解し、実践できる。","新設","「理解し、実践できる」へ変更","","","これは現実としてすでに多くの大学でパフォーマンスとして「実践する」ことを求めているのでは。『〜を理解し、実践できる」","","","理解し、実践できる。でよいと思います。","「情報」も必修化され、一般的には理解した学生が多いと想定されますが、「医療者としての」をコアカリで位置づけた方がよいでしょうか。削除も検討かと思います。「利用できる」","","",""
"医療とそれを取り巻く社会に必要な情報・科学技術の原理","情報・科学技術を活用した医療","情報端末（コンピューター、スマートフォン等）を用いてインターネットやアプリ等を医療の実践に活用できる。","Jkxifl4","","","情報端末（コンピューター、スマートフォン等）によるインターネットやアプリ等の医療への活用方法を説明できる。","情報端末（コンピューター、スマートフォンなど）によるインターネットやアプリ等の医療への活用方法を説明できる。","情報端末（コンピューター、スマートフォン等）を用いてインターネットやアプリ等を医療の実践に活用できる。","査読Iにあるとおり、実践レベルで良いのではないでしょうか？",2.0,"活用できるよう診療実習に参加はさせたいと願いますが、活用できると言えるレベルで卒業できるのかはわかりません。目標としては実践に活用できる、を掲げて問題は無いと思います。","情報端末（コンピューター、スマートフォン等）を用いてインターネットやアプリ等を医療の実践に活用できる。","新設","情報端末（コンピューター・スマートフォンなど）の記載へ変更し、「等」を加筆","コンピューター、タブレット端末、モバイル端末によるインターネットやモバイルアプリ「等」としておかないと、今後いろいろなものに対応できないかもしれません","","","","","","「情報端末（コンピューター、タブレット端末、モバイル端末など）によるインターネットやモバイルアプリの活用方法を説明できる。」としてはいかがでしょうか。","","主語は学習者でしょうか。それならば、実践できるレベルでよろしいかと思います（初等教育、中等教育でも実践しているかもしれません）。",""
"医療とそれを取り巻く社会に必要な情報・科学技術の原理","情報・科学技術を活用した医療","情報・科学技術を用いて収集した情報およびデータを基に問題解決を図る。","Jkxifl8","","","情報・科学技術を用いて収集した情報およびデータを基に問題解決を図る。","情報・科学技術を用いて収集した情報およびデータを基に問題解決を図る。","情報・科学技術を用いて収集した情報およびデータを基に問題解決を図る。","ママ",2.0,"","情報・科学技術を用いて収集した情報およびデータを基に問題解決を図る。","新設","「データの分析・総括」を「データを基に」へ変更","データの分析・総括という表現は一般的に使用されているでしょうか","","","","","","","","",""
"医療とそれを取り巻く社会に必要な情報・科学技術の原理","情報・科学技術の先端知識","医療に関連する情報・科学技術（医療情報システム、ウェアラブルデバイス、アプリ、人工知能、遠隔医療技術、IoT※等）を理解し、それらの応用可能性について議論できる。","JkxifmA","","","医療に関連する情報・科学技術（医療情報システム、ウェアラブルデバイス、アプリ、人工知能、遠隔医療技術、IoT※等）を理解し、応用の可能性を議論できる。","医療に関連する情報・科学技術（医療情報システム、ウェアラブルデバイス、アプリ、人工知能、遠隔医療技術、Internet of Things （IoT）など）を理解し、応用の可能性を議論できる。","医療に関連する情報・科学技術（医療情報システム、ウェアラブルデバイス、アプリ、人工知能、遠隔医療技術、IoT※等）を理解し、それらの応用可能性について議論できる。","略語を整理しました。日本語を一部、わかりやすくなるように修正しました",2.0,"","医療に関連する情報・科学技術（医療情報システム、ウェアラブルデバイス、アプリ、人工知能、遠隔医療技術、IoT※等）を理解し、それらの応用可能性について議論できる。","新設","人工知能・遠隔医療技術・IoTなど、今後医療での情報科学技術でさらなる活用が想定されるものを例示した。また、「実践」の前段階として「議論できる」レベルを設定した。","遠隔医療と人工知能に限定した理由は？
「・・・の概念を理解し、それを学修に活用することや医療へ適応することができる」","","全ての学生に専門家との議論の機会を保証することは困難だと思うので、「〜、その概念的知識を学習や医療へ適応することができる」でよいのでは？","","情報・科学技術の専門家と議論できる→理解できる、がミニマムリクアイアメント。議論はオプションで良いのでは？。すべての項目で議論できるのが理想。AI技術だけ取り上げるのは不自然だと思います。","","","","",""
"医療とそれを取り巻く社会に必要な情報・科学技術の原理","情報・科学技術の先端知識","情報・科学技術の専門家とともに、技術を医療へ応用する際に、医療者に求められる役割を理解している。","Jkzptx8
","","","情報・科学技術の専門家とともに、技術を医療へ応用する際に、医療者に求められる役割を理解する。","情報・科学技術の専門家とともに、技術を医療へ応用する際に、医療者に求められる役割を理解する。","情報・科学技術の専門家とともに、技術を医療へ応用する際に、医療者に求められる役割を理解している。","理解している、に変更",2.0,"","情報・科学技術の専門家とともに、技術を医療へ応用する際に、医療者に求められる役割を理解している。","","{not found: Jkzptx8
}","","","","","","","","","",""
"医療とそれを取り巻く社会に必要な情報・科学技術の原理","情報・科学技術の先端知識","","JkxifmE","","","","削除：新たに開発される情報・科学技術に順応し、それらを自身の学び及び医療に活用する習慣を身につける。","","","","","","新設","「習慣を身につける」から「役割を理解する」へ修正した。なお、専門家とともに実践することは、学生レベルとしては高いと判断した。","習慣を身につける ？
活用することができるではダメでしょうか
おそらく学生レベルのほうが指導医レベルより能力が高いと想像されます。","","順応する前に批判的吟味しなくてよい？「〜を批判的に吟味した上で順応し、」","","","","","","",""
