"日付","変更の要約","責任者","Unnamed: 3","Unnamed: 4"
"2022-01-20","新規作成","近藤猛","version0120",""
"2022-01-21","第2層から第4層タブにH28での作業を反映","近藤猛","",""
"2022-01-22","診療科毎の項目に分れていた、「主訴からの診断推論を組み立て」「疾患の病態や疫学」「治療に可能な範囲で参加する」「基本的な診察技能」「コンサルテーション」をそれぞれ統合し、記載されていた診療科については「基本診療科」として別表に切り出した","近藤猛","",""
"2022-01-24","基本的臨床手技を別表とした","近藤猛","",""
"2022-01-24","第2層「患者の情報収集」内の第3層「検査結果」「治療経過」に関しては、元々過去の情報を収集することを意図していたのでカルテ記載に統合しました、第3層の検査計画と分析評価、治療計画と経過の評価、を統合しました、書類作成は見学(方略)となっていた第4層の分割・修正を提案しました、教育計画は第4層を提案しました、カンファレンスについて「診療計画カンファレンス」「振り返りカンファレンス」という第3層を作成し分類しました","近藤猛","",""
"2022-01-25","バイタルサインの測定を統合","近藤猛","",""
"2022-01-25","切り出した表にもH28対応項目を記載した","近藤猛","",""
"2022-01-26","シミュレータでも可を実演できる、に","近藤猛","",""
"2022-01-27","技能チーム全員で全体を確認し修正","近藤猛","",""
"2022-01-31","形式を調整","近藤猛","version0131",""
"2022-02-14","方略を削除, 診療科に特異的なもの, 総合と社会に含まれるもの, 重複項目を削除, 検査については類似のものを近づけるように並び替え","近藤猛","","残された課題: ●●症候について, 基本診療科の中身, 統合・分割された症候についての鑑別診断, 実施できる・実演できるについては注釈を付ける必要がある, 概説できると説明できるとどう扱うか(概説できるレベルはコアとしては不要?)"
"2022-02-17","患者安全を生涯学習から技能へ移動し並べ替えた","松島","",""
