"主要に含まれない着目すべきもの","臓器","分類","項目名","H28対応項目","削除項目","追加項目","メモ"
"","耳鼻・咽喉・口腔系","症状・症候","いびき","D-14-03-01-01","","D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）",""
"","内分泌・栄養・代謝系","症状・症候","エネルギー摂取の過剰または欠乏がもたらす身体症状","","","",""
"","神経系","症状・症候","けいれん","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害",""
"","救急系（中毒・環境因子による疾患を含む）","症状・症候","けいれん","E-02-03-na-03","","","新設"
"","感染症","症状・症候","けいれん","E-02-03-na-03","","",""
"","主要症候","症状・症候","けいれん","F-01-08-na-01,F-01-08-na-02,F-01-08-na-03,G-02-08-na-01,G-02-08-na-02,G-02-08-na-03,G-02-08-na-04,G-02-08-na-05,G-02-08-na-06","","",""
"重要","免疫・アレルギー","症状・症候","ショック","E-04-02-na-01","","","症候をまとめるかセルに入れるか統一した方が良いと思います。（KY）"
"重要","感染症","症状・症候","ショック","E-02-03-na-01","","","症候をまとめるかセルに入れるか統一した方が良いと思います。（KY）"
"","皮膚系","症状・症候","そう痒","D-03-03-na-01","","具体的な皮膚所見を加えました（医師国家試験ガイドラインに準じて）","発疹（rash）とは一過性の皮疹を総称する用語である。ゆえに皮疹にしませんか（そもそも班に通知をお願いしたいと思います。）"
"多臓器","腎・尿路系（体液・電解質バランスを含む）","症状・症候","タンパク尿","","","",""
"多臓器","生殖機能","症状・症候","タンパク尿","D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05","","",""
"","内分泌・栄養・代謝系","症状・症候","ホルモンの過剰または欠乏がもたらす身体症状","","","",""
"","神経系","症状・症候","めまい","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害",""
"","眼・視覚系","症状・症候","めまい","D-13-03-02-01,D-13-03-02-02,D-13-03-02-03","","",""
"","耳鼻・咽喉・口腔系","症状・症候","めまい","D-14-02-na-01, D-14-02-na-02","","","そもそもチームのガイドに合わせ「嚥下障害」のみ"
"","主要症候","症状・症候","めまい","F-01-09-na-01,F-01-09-na-02,F-01-09-na-03,G-02-09-na-01,G-02-09-na-02,G-02-09-na-03,G-02-09-na-04,G-02-09-na-05,G-02-09-na-06,G-02-09-na-07","","",""
"","血液・造血器・リンパ系","症状・症候","リンパ節腫脹","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07","",""
"","免疫・アレルギー","症状・症候","リンパ節腫脹","E-04-02-na-06","","",""
"","感染症","症状・症候","リンパ節腫脹","E-02-03-na-09","","",""
"","主要症候","症状・症候","リンパ節腫脹","F-01-27-na-01,F-01-27-na-02,F-01-27-na-03,G-02-27-na-01,G-02-27-na-02,G-02-27-na-03,G-02-27-na-04,G-02-27-na-05,G-02-27-na-06","","",""
"","消化器系","症状・症候","下痢","D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07","","",""
"","主要症候","症状・症候","下痢","F-01-23-na-01,F-01-23-na-02,F-01-23-na-03,G-02-23-na-01,G-02-23-na-02,G-02-23-na-03,G-02-23-na-04,G-02-23-na-05,G-02-23-na-06,G-02-23-na-07,G-02-23-na-08,G-02-23-na-09","","",""
