"第2層","第3層","第4層","UID","H28対応項目","H28表記","第4層(技術参与清書)","第4層(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","全体編集コメント","チームからの返信（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 25"
"患者の情報収集","医療面接","","JkxirsY","F-03-02-na-01,G-04-04-na-02","適切な身だしなみ、言葉遣い及び態度で患者に接することができる。,模擬患者の協力を得て、臨床技能（コミュニケーションスキルを含む）や医療者に求められる態度を身に付ける。","","削除:適切な身だしなみ、言葉遣い及び態度で患者に接することができる。","","","","","","","","対応しました","他領域","コミュと重なる","コミュ3,4と重複","","重複∴削除","","","","",""
"患者の情報収集","医療面接","医療面接における基本的コミュニケーション技法を用いることができる。","Jkxirsc","F-03-02-na-02","医療面接における基本的コミュニケーション技法を用いることができる。","医療面接における基本的コミュニケーション技法を用いることができる。","医療面接における基本的コミュニケーション技法を用いることができる。","医療面接における基本的コミュニケーション技法を用いることができる。","ママ","",1.0,"","医療面接における基本的コミュニケーション技法を用いることができる。","コミュではなく技能で扱う(2022/2/7)(近藤)","技能(技能+コミュ)で審議し技能で扱うこととしました","コミュニケーション領域へ","コミュと重なる","コミュ7と重複。基本的コミュニケーションスキルとは具体的に何か記載がないと、カリキュラム立案に反映しにくい。入れるとしても「医療面接において」では。","","問が漠然としているので削除で良いのでは？","","","","",""
"患者の情報収集","医療面接","病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。","Jkxirsg","F-03-02-na-03","病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。","病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。","病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。","病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。","ママ","",1.0,"","病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。","","技能(技能+コミュ)で審議しこのままとしました","","","網羅的に聞き取った上で取捨選択するのではなく、鑑別疾患を考えながら必要な情報を聴取していくアプローチを学ぶ必要があることを表現できたらと思うので、「主訴に対する鑑別疾患を想起しながら、その吟味に必要な病歴（....）を聴取できる」","","","臨床推論の最重要項目であり医師の能力が大きく作用する現病歴について、ある程度アンケートでも記載できる常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、と同列に扱われてきているのが気になっておりました。OSCEでも、十分に現病歴をとらずに家族歴、既往歴に進んでしまう残念な学生がいるので重点的に指導しておりますが、学ぶ方も教える方も意識改革が必要そうです。診療参加の本幹である、日々の診療・カルテ記載の基本にもなりますので、別枠の方が良いのではと思いました。
『主訴を正確に把握して鑑別診断を想起し、詳細に現病歴（発症様式、経過と場 所、質、放散痛、程度、軽快因子、増悪因子、随伴症状など）を聴取することができる。』など。一意見でした。","","","",""
"患者の情報収集","医療面接","","Jkxirsk","F-03-05-01-01","患者の立場を尊重し、信頼を得ることができる。","","削除:患者の立場を尊重し、信頼を得ることができる。","","","","","","","","対応しました","","コミュ13と重なる","","","問が漠然としているので削除、またはコミュに統合で良いのでは？","","","","",""
"患者の情報収集","医療面接","患者に関わる人たちから必要な情報を得ることが参加できる。","Jkxirso","F-03-05-08-04,G-04-01-03-04","保護者から必要な情報を得たり対応したりすることに可能な範囲で参加できる。,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加する。","患者に関わる人たちから必要な情報を得ることが参加できる。","患者に関わる人たちから必要な情報を得ることが参加できる。","","コミュ27と重複","",1.0,"","患者に関わる人たちから必要な情報を得ることが参加できる。","コミュではなく技能で扱う、保護者→患者に関わる人たち(さらに良い言葉があれば変更)(2022/2/7)(近藤)","対応しました","","高齢者の場合も「保護者」なのか？","コミュ26と重複。小児の項目なのでしょうが、成人でも認知症の方の家族や知人・行政関係者などの代理人（代理意思決定者を含む）から情報を得る場面はあるので、一般化して「必要に応じて家族や家族以外の代理人から患者に関する情報を得たり対応したりすることに、指導医とともに参加できる」","","保護者→保護者や第三者で良いのでは？","","可能な範囲でという言葉がやや抽象的か。","","","【宮地】コミュ27との区別をどうつけるか？"
"患者の情報収集","身体所見","患者の状態に応じた診察ができる。","Jkxirss","F-03-05-01-06","患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。","患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。","患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。","患者の状態に応じた診察ができる。","査読者Iの意見、遠隔診療まで行われている今日、診察が不可能、という状況が想定しにくい","",2.0,"","患者の状態に応じた診察ができる。","","技能で審議しこのままとしました","","","学生の独断では難しいと思うので、「〜を判断し、指導医と相談した上で状態に応じた診察ができる」ではどうでしょうか","","ができる→の重要性を理解できる（実施は学生レベルを超えることが多い）","","","「患者の状態に応じた診療ができる」だけではだめでしょうか","",""
"患者の情報収集","身体所見","","Jkxirsw","F-03-05-02-01","身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。","","削除:身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。","","","","","","","","対応しました","この項目が独立して必要でしょうか","","総合77と重複。","","単独項目にするほどではない→他所へ統合または割愛で良いのでは？","","","","",""
"患者の情報収集","身体所見","全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。","Jkxirs8","F-03-05-02-07","全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。","全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。","全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。","全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。","","",1.0,"","全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。","バイタルより上に移動(2022/2/7)(近藤)","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","バイタルサイン（体温、脈拍、血圧、呼吸数、酸素飽和度）の測定ができる。","Jkxirs0","F-02-09-02-02,F-03-05-02-05,F-03-05-02-04,F-03-05-02-02,F-03-05-02-06,F-03-06-02-05","基本的バイタルサイン（体温、呼吸、脈拍、血圧）の意義とモニターの方法を説明できる。,腋窩で体温を測定できる。,呼吸数を測定し、呼吸の異常の有無を確認できる。,上腕で触診、聴診法により血圧を測定できる。,下肢の動脈の触診等、下腿の血圧測定（触診法）、大腿の血圧測定（聴診法）を実施できる。,経皮的酸素飽和度を測定できる。","バイタルサイン（体温、呼吸数、酸素飽和度、脈拍、血圧）の測定ができる。","バイタルサイン(体温、呼吸数、酸素飽和度、脈拍、血圧)の測定ができる","バイタルサイン（体温、脈拍、血圧、呼吸数、酸素飽和度）の測定ができる。","査読者Iの意見","",2.0,"","バイタルサイン（体温、脈拍、血圧、呼吸数、酸素飽和度）の測定ができる。","(腋窩)(橈骨)(上肢・下肢)を削除(2022/2/7)(近藤)","対応しました","（）のなかの（）という記載を修正可能なら","","","","","卒業時ですので、・・・測定ができ、おもな異常所見を指摘できる。　ごよいのでは、","","","医師国家試験等の記載順に合わせ、体温、脈拍、血圧、呼吸数、酸素飽和度の順に記載するのはいかがでしょうか。",""
"患者の情報収集","身体所見","適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。","Jkxirs4","F-03-02-na-04","診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。","適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。","適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。","適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。","ママ","",1.0,"","適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。","","対応しました","説明できるではなく、対位をとらせることができる","説明できる→患者にとってもらうことができる","","","","を説明し、実施できる。？","","実施でいいと思います","",""
