"H28ID","理由・コメント","第4層"
"F-02-01-na-02","情報収集にはDoesレベルを求めることを考えると削除を検討(近藤)","情報収集には医療面接、身体診察、検査の３つの方法があることを説明できる。"
"F-02-01-na-03","情報収集にはDoesレベルを求めることを考えると削除を検討(近藤)","診断仮説を想起するためには、解剖学、病理学、生理学、生化学等の基礎医学や疾患頻度が重要であることを説明できる。"
"G-01-01-01-01","コンピテンシーの再掲であり具体的な目標ではないため","「A 医師として求められる基本的な資質・能力」（以下、再掲）を常に意識しながら、臨床実習を行う。"
"G-01-01-01-02","コンピテンシーの再掲であり具体的な目標ではないため","プロフェッショナリズム"
"G-01-01-01-03","コンピテンシーの再掲であり具体的な目標ではないため","医学知識と問題対応能力"
"G-01-01-01-04","コンピテンシーの再掲であり具体的な目標ではないため","診療技能と患者ケア"
"G-01-01-01-05","コンピテンシーの再掲であり具体的な目標ではないため","コミュニケーション能力"
"G-01-01-01-06","コンピテンシーの再掲であり具体的な目標ではないため","チーム医療の実践"
"G-01-01-01-07","コンピテンシーの再掲であり具体的な目標ではないため","医療の質と安全の管理"
"G-01-01-01-08","コンピテンシーの再掲であり具体的な目標ではないため","社会における医療の実践"
"G-01-01-01-09","コンピテンシーの再掲であり具体的な目標ではないため","科学的探究"
"G-01-01-01-10","コンピテンシーの再掲であり具体的な目標ではないため","生涯にわたって共に学ぶ姿勢"
"G-01-01-02-01","具体的な目標ではないため","「F 診療の基本」の内容を基盤として、臨床の現場で研鑽を積む。"
"G-01-01-03-01","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","病歴を聴取して身体診察を行う。"
"G-01-01-03-02","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","鑑別診断を想定する。"
"G-01-01-03-03","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","基本的な検査の結果を解釈する。"
"G-01-01-03-04","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","処方を計画する。"
"G-01-01-03-05","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","診療録（カルテ）を記載する。"
"G-01-01-03-06","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","患者の状況について口頭でプレゼンテーションする。"
"G-01-01-03-07","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","臨床上の問題を明確にしてエビデンスを収集する。"
"G-01-01-03-08","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","患者さんの申し送りを行う・受け取る。"
"G-01-01-03-09","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","多職種のチームで協働する。"
"G-01-01-03-10","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","緊急性の高い患者さんの初期対応を行う。"
"G-01-01-03-11","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","インフォームド・コンセントを得る。"
"G-01-01-03-12","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","基本的臨床手技を実施する。"
"G-01-01-03-13","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","組織上の問題の同定と改善を通して医療安全に貢献する。"
"G-02-01-na-01","EPAに該当するため、臨床実習ガイドラインで扱うことを検討する","感染症：肺炎"
"G-04-03-na-01","具体的な目標ではないため","これ以下は教育方略"
"G-04-03-na-03","方略であるため削除し、ガイドラインでの記載を検討(近藤)","必要に応じて臨床教授制度等を利用する。"
"G-04-04-na-01","具体的な目標ではないため","シミュレータを用いて反復練習をすることで、臨床技能を磨く。"
"G-04-04-na-02","方略であるため削除し、ガイドラインでの記載を検討(近藤)","模擬患者の協力を得て、臨床技能（コミュニケーションスキルを含む）や医療者に求められる態度を身に付ける。"
"G-04-04-na-03","方略であるため削除し、ガイドラインでの記載を検討(近藤)","シナリオを用いたトレーニングを通して、状況判断、意思決定能力を獲得する。"
"G-04-04-na-04","方略であるため削除し、ガイドラインでの記載を検討(近藤)","チームトレーニングによって、チーム医療の実践能力を高める。"
"F-01-05-na-01","ショックが症候から外れたため(循環器に移動を検討)(近藤)","ショックの原因と病態生理を説明できる。"
"F-01-05-na-02","ショックが症候から外れたため(循環器に移動を検討)(近藤)","ショックをきたす疾患(群)を列挙し、診断の要点を説明できる。"
"F-01-05-na-03","ショックが症候から外れたため(循環器に移動を検討)(近藤)","ショック状態にある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。"
"G-02-05-na-01","ショックが症候から外れたため(循環器に移動を検討)(近藤)","循環血液量減少性：急性消化管出血"
"G-02-05-na-02","ショックが症候から外れたため(循環器に移動を検討)(近藤)","循環血液量減少性：大動脈瘤破裂"
"G-02-05-na-03","ショックが症候から外れたため(循環器に移動を検討)(近藤)","循環血液量減少性：熱傷"
"G-02-05-na-04","ショックが症候から外れたため(循環器に移動を検討)(近藤)","心原性：急性心筋梗塞"
"G-02-05-na-05","ショックが症候から外れたため(循環器に移動を検討)(近藤)","心原性：心筋炎"
"G-02-05-na-06","ショックが症候から外れたため(循環器に移動を検討)(近藤)","閉塞性：緊張性気胸"
"G-02-05-na-07","ショックが症候から外れたため(循環器に移動を検討)(近藤)","閉塞性：肺塞栓症"
"G-02-05-na-08","ショックが症候から外れたため(循環器に移動を検討)(近藤)","血液分布異常性：敗血症"
"G-02-05-na-09","ショックが症候から外れたため(循環器に移動を検討)(近藤)","血液分布異常性：急性膵炎"
"G-02-05-na-10","ショックが症候から外れたため(循環器に移動を検討)(近藤)","血液分布異常性：アナフィラキシー"
"G-02-05-na-11","ショックが症候から外れたため(循環器に移動を検討)(近藤)","血液分布異常性：脊髄損傷"
"F-01-10-na-01","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","脱水の原因と病態生理を説明できる。"
"F-01-10-na-02","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","脱水をきたす疾患(群)を列挙し、診断の要点を説明できる。"
"F-01-10-na-03","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","脱水がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。"
"G-02-10-na-01","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","消化器：急性消化管出血"
"G-02-10-na-02","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","消化器：乳児下痢症"
"G-02-10-na-03","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","消化器：急性膵炎"
"G-02-10-na-04","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","内分泌・代謝：糖尿病"
"G-02-10-na-05","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","環境：熱中症"
"G-02-10-na-06","脱水が症候から外れたため(腎臓に移動を検討)(近藤)","環境：熱傷"
"F-01-18-na-01","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","胸水の原因と病態生理を説明できる。"
"F-01-18-na-02","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","胸水をきたす疾患(群)を列挙し、診断の要点を説明できる。"
"F-01-18-na-03","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","胸水がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。"
"G-02-18-na-01","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","循環器：心不全"
"G-02-18-na-02","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","呼吸器：肺炎"
"G-02-18-na-03","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","呼吸器：肺結核"
"G-02-18-na-04","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","呼吸器：肺癌"
"G-02-18-na-05","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","消化器：肝硬変"
"G-02-18-na-06","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","消化器：急性膵炎"
"G-02-18-na-07","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","自己免疫：関節リウマチ"
"G-02-18-na-08","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","自己免疫：全身性エリテマトーデス<SLE>"
"G-02-18-na-09","胸水が症候から外れたため(臓器別に移動を検討)(近藤)","腎・泌尿器：ネフローゼ症候群"
"F-01-26-na-01","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","貧血の原因と病態生理を説明できる。"
"F-01-26-na-02","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","貧血をきたす疾患(群)を列挙し、診断の要点を説明できる。"
"F-01-26-na-03","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","貧血がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。"
"G-02-26-na-01","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","鉄欠乏性貧血：消化性潰瘍"
"G-02-26-na-02","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","鉄欠乏性貧血：痔核"
"G-02-26-na-03","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","鉄欠乏性貧血：子宮筋腫"
"G-02-26-na-04","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","造血器腫瘍：白血病"
"G-02-26-na-05","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","造血器腫瘍：骨髄腫"
"G-02-26-na-06","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","二次性貧血：肝硬変"
"G-02-26-na-07","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","二次性貧血：慢性腎臓病"
"G-02-26-na-08","貧血が症候から外れたため(臓器別に移動を検討)(近藤)","二次性貧血：アルコール依存症"
"G-04-02-15-01","診療科のその他を削除(近藤)","主訴からの診断推論を組み立てる、又はたどる。"
"G-04-02-15-02","診療科のその他を削除(近藤)","疾患の病態や疫学を理解する。"
"G-04-02-15-03","診療科のその他を削除(近藤)","該当診療科の治療に可能な範囲で参加する。"
"G-04-02-15-04","診療科のその他を削除(近藤)","該当診療科の基本的な診察技能について学ぶ。"
"G-04-02-15-05","診療科のその他を削除(近藤)","どのように該当診療科にコンサルテーションすればよいかわかる。"
"G-03-03-na-05","包帯交換をしなくなったため(近藤)","創の消毒やガーゼ交換ができる。"
"G-03-01-na-03","医行為とはいえない(近藤)","外用薬の貼付・塗布"
"G-03-01-na-07","学生レベルではない(近藤)","中心静脈カテーテル挿入"
"G-03-01-na-12","外科専門医のレベルなので削除(近藤)","ドレーンの挿入と抜去"
"G-03-01-na-14","学生に求める手技ではない(近藤)","全身麻酔、局所麻酔、輸血を見学し、介助する。"
"G-03-01-na-15","学生に求める手技ではない(近藤)","眼球に直接触れる治療を見学し、介助する。"
"G-03-02-na-01","医師が行う機会がなくなってきたため、計画・解釈は別目標として立てた(近藤)","尿検査（尿沈渣を含む）を実施できる。"
"G-03-02-na-02","医師が行う機会がなくなってきたため、計画・解釈は別目標として立てた(近藤)","末梢血塗抹標本を作成し、観察できる。"
