"第2層","第3層","第4層","UID","H28対応項目","第4層(技術参与清書)","H28表記","第4層(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","全体編集コメント","チームからの返信（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","Unnamed: 15","査読への返答","A","B","C","D","E","F","G","H","I"
"基礎医学","生命現象の科学","細胞の観察法について理解している。","JkxnuHs","C-01-01-01-01","細胞の観察法を説明できる。","細胞の観察法を説明できる。","細胞の観察法を説明できる。","細胞の観察法について理解している。","","",2.0,"","細胞の観察法について理解している。","「細胞の観察ができる」のみでもよいか？(MY)","","電顕などの観察法についての項目と考えるので「観察法」のままでどうか","","","観察できる必要があるのでは。「細胞の観察法を説明し、観察できる」","","","","","",""
"基礎医学","生命現象の科学","細胞の全体像を図示できる。","JkxnuHw","C-01-01-01-02","細胞の全体像を図示できる。","細胞の全体像を図示できる。","細胞の全体像を図示できる。","細胞の全体像を図示できる。","ママ","",2.0,"","細胞の全体像を図示できる。","","","","","","","","","","","図示できることが必要な能力なのでしょうか。細胞の全体像を理解していることの方が重要な気がします。細胞の全体像を理解するのであれば４・５と合わせてもいいと思います。",""
"基礎医学","生命現象の科学","核とリボソーム、小胞体、ゴルジ体、リソソーム等の細胞内膜系、ミトコンドリア、葉緑体、細胞骨格の種類とその構造と機能について理解している。","JkxnuH0","C-01-01-01-03,C-01-01-01-04,C-01-01-01-05,C-01-01-01-06","核とリボソーム、小胞体、ゴルジ体、リソソーム等の細胞内膜系、ミトコンドリア、葉緑体、細胞骨格の種類とその構造と機能を説明できる。","核とリボソームの構造と機能を説明できる。,小胞体、ゴルジ体、リソソーム等の細胞内膜系の構造と機能を説明できる。,ミトコンドリア、葉緑体の構造と機能を説明できる。,細胞骨格の種類とその構造と機能を概説できる。","核とリボソーム、小胞体、ゴルジ体、リソソーム等の細胞内膜系、ミトコンドリア、葉緑体、細胞骨格の種類とその構造と機能を説明できる。","核とリボソーム、小胞体、ゴルジ体、リソソーム等の細胞内膜系、ミトコンドリア、葉緑体、細胞骨格の種類とその構造と機能について理解している。","","",2.0,"","核とリボソーム、小胞体、ゴルジ体、リソソーム等の細胞内膜系、ミトコンドリア、葉緑体、細胞骨格の種類とその構造と機能について理解している。","修正済み・ワードファイルでは「外」細胞骨格の外を消しているように見えます（KY）","","「外」は削除","","","","","","","","",""
"基礎医学","生命現象の科学","細胞膜の構造と機能、細胞同士の接着と結合様式について理解している。","JkxnuH4","C-01-01-01-07","細胞膜の構造と機能、細胞同士の接着と結合様式を説明できる。","細胞膜の構造と機能、細胞同士の接着と結合様式を説明できる。","細胞膜の構造と機能、細胞同士の接着と結合様式を説明できる。","細胞膜の構造と機能、細胞同士の接着と結合様式について理解している。","","",2.0,"","細胞膜の構造と機能、細胞同士の接着と結合様式について理解している。","","","","","","","","","","","",""
"基礎医学","生命現象の科学","原核細胞と真核細胞の特徴について理解している。","JkxnuH8","C-01-01-01-08","原核細胞と真核細胞の特徴を説明できる。","原核細胞と真核細胞の特徴を説明できる。","原核細胞と真核細胞の特徴を説明できる。","原核細胞と真核細胞の特徴について理解している。","","",2.0,"","原核細胞と真核細胞の特徴について理解している。","","","","","","","","","","","",""
"基礎医学","生命現象の科学","メンデルの法則、ミトコンドリア遺伝、インプリンティング及び多因子遺伝について理解している。","JkxnuIA","C-01-01-02-01","メンデルの法則、ミトコンドリア遺伝、インプリンティング及び多因子遺伝を説明できる。","Mendelの法則、ミトコンドリア遺伝、インプリンティング及び多因子遺伝を説明できる。","Mendelの法則、ミトコンドリア遺伝、インプリンティング及び多因子遺伝を説明できる。","メンデルの法則、ミトコンドリア遺伝、インプリンティング及び多因子遺伝について理解している。","メンデルをカタカナに修正","",2.0,"","メンデルの法則、ミトコンドリア遺伝、インプリンティング及び多因子遺伝について理解している。","","","","","","","","","","メンデルはアルファベットでいいのでしょうか。","",""
"基礎医学","生命現象の科学","遺伝型と表現型の関係について理解している。","JkxnuIE","C-01-01-02-02","遺伝型と表現型の関係を説明できる。","遺伝型と表現型の関係を説明できる。","遺伝型と表現型の関係を説明できる。","遺伝型と表現型の関係について理解している。","","",2.0,"","遺伝型と表現型の関係について理解している。","","","","","","","","","","","",""
"基礎医学","生命現象の科学","染色体の構造を理解し、ゲノムと染色体及び遺伝子の構造と関係性、体細胞分裂及び減数分裂における染色体の挙動について理解している。","JkxnuII","C-01-01-02-03","染色体の構造を概説し、ゲノムと染色体及び遺伝子の構造と関係性、体細胞分裂及び減数分裂における染色体の挙動を説明できる。","染色体の構造を概説し、ゲノムと染色体及び遺伝子の構造と関係性、体細胞分裂及び減数分裂における染色体の挙動を説明できる。","染色体の構造を概説し、ゲノムと染色体及び遺伝子の構造と関係性、体細胞分裂及び減数分裂における染色体の挙動を説明できる。","染色体の構造を理解し、ゲノムと染色体及び遺伝子の構造と関係性、体細胞分裂及び減数分裂における染色体の挙動について理解している。","","",2.0,"","染色体の構造を理解し、ゲノムと染色体及び遺伝子の構造と関係性、体細胞分裂及び減数分裂における染色体の挙動について理解している。","","","","","","","","","","","",""
"基礎医学","生命現象の科学","DNAの複製と修復、DNAからRNAへの転写、タンパク質合成に至る翻訳を含む遺伝情報の発現及び調節（セントラルドグマ）について理解している。","JkxnuIM","C-01-01-02-04,C-01-01-02-05,C-03-01-01-03","デオキシリボ核酸（DNA）の複製と修復、デオキシリボ核酸<DNA>からリボ核酸（RNA）への転写、タンパク質合成に至る翻訳を含む遺伝情報の発現及び調節（セントラルドグマ）を説明できる。","デオキシリボ核酸(deoxyribonucleic acid <DNA>)の複製と修復を概説できる。,デオキシリボ核酸<DNA>からリボ核酸(ribonucleic acid <RNA>)への転写、タンパク質合成に至る翻訳を含む遺伝情報の発現及び調節（セントラルドグマ）を説明できる。,デオキシリボ核酸<DNA>ゲノムとリボ核酸<RNA>ゲノムの複製・転写を一般化し、説明できる。","デオキシリボ核酸(deoxyribonucleic acid <DNA>)の複製と修復、デオキシリボ核酸<DNA>からリボ核酸(ribonucleic acid <RNA>)への転写、タンパク質合成に至る翻訳を含む遺伝情報の発現及び調節（セントラルドグマ）を説明できる。","DNAの複製と修復、DNAからRNAへの転写、タンパク質合成に至る翻訳を含む遺伝情報の発現及び調節（セントラルドグマ）について理解している。","DNA, RNAは略語集で説明","",2.0,"","DNAの複製と修復、DNAからRNAへの転写、タンパク質合成に至る翻訳を含む遺伝情報の発現及び調節（セントラルドグマ）について理解している。","","","","","","","","","","","",""
"基礎医学","生命現象の科学","染色体分析・DNA配列決定を含むゲノム解析技術について理解している。","JkxnuIQ","C-01-01-02-06","染色体分析・DNA配列決定を含むゲノム解析技術を説明できる。","染色体分析・DNA配列決定を含むゲノム解析技術を概説できる。","染色体分析・DNA配列決定を含むゲノム解析技術を説明できる。","染色体分析・DNA配列決定を含むゲノム解析技術について理解している。","","",2.0,"","染色体分析・DNA配列決定を含むゲノム解析技術について理解している。","修正済み・ワードファイルでは「説明できる」になっています。(KY)","","深度を深めた","","","","","","","","",""
"基礎医学","生命現象の科学","ゲノム編集技術とその応用について理解している。","JkxnuIU","","ゲノム編集技術（CRISPR-Cas 9）とその応用について説明できる。","","ゲノム編集技術 (CRISPR-Cas 9)とその応用について説明できる。","ゲノム編集技術とその応用について理解している。","査読者Hの意見を反映","",2.0,"","ゲノム編集技術とその応用について理解している。","新設","","","","","","","","","","CRISPR-CAS-9に言及しなくてもいい気がしました",""
"基礎医学","生命現象の科学","進化の基本的な考え方について理解している。","JkxnuIY","C-01-02-01-01","進化の基本的な考え方を説明できる。","進化の基本的な考え方を説明できる。","進化の基本的な考え方を説明できる。","進化の基本的な考え方について理解している。","","",2.0,"","進化の基本的な考え方について理解している。","","","","","","","","","","","",""
"基礎医学","生命現象の科学","生物種とその系統関係について理解している。","JkxnuIc","C-01-02-01-02","生物種とその系統関係を概説できる。","生物種とその系統関係を概説できる。","生物種とその系統関係を概説できる。","生物種とその系統関係について理解している。","","",2.0,"","生物種とその系統関係について理解している。","","","","","","","","","","","",""
