"第2層","第3層","該当する第4層の数"
"医学一般","生命現象の科学",14
"医学一般","個体の構成と機能",38
"医学一般","個体の反応",38
"医学一般","病因と病態",29
"医学一般","人の行動と心理",0
"人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系",5
"人体各器官の正常構造と機能、病態、診断、治療","神経系",5
"人体各器官の正常構造と機能、病態、診断、治療","皮膚系",5
"人体各器官の正常構造と機能、病態、診断、治療","運動器（筋骨格）系",5
"人体各器官の正常構造と機能、病態、診断、治療","循環器系",5
"人体各器官の正常構造と機能、病態、診断、治療","呼吸器系",5
"人体各器官の正常構造と機能、病態、診断、治療","消化器系",5
"人体各器官の正常構造と機能、病態、診断、治療","腎・尿路系（体液・電解質バランスを含む）",5
"人体各器官の正常構造と機能、病態、診断、治療","生殖機能",5
"人体各器官の正常構造と機能、病態、診断、治療","妊娠と分娩",5
"人体各器官の正常構造と機能、病態、診断、治療","乳房",5
"人体各器官の正常構造と機能、病態、診断、治療","内分泌・栄養・代謝系",5
"人体各器官の正常構造と機能、病態、診断、治療","眼・視覚系",5
"人体各器官の正常構造と機能、病態、診断、治療","耳鼻・咽喉・口腔系",5
"人体各器官の正常構造と機能、病態、診断、治療","精神系",5
"全身に及ぶ生理的変化、病態、診断、治療","遺伝医療・ゲノム医療",8
"全身に及ぶ生理的変化、病態、診断、治療","感染症",42
"全身に及ぶ生理的変化、病態、診断、治療","腫瘍",32
"全身に及ぶ生理的変化、病態、診断、治療","免疫・アレルギー",27
"全身に及ぶ生理的変化、病態、診断、治療","救急系（中毒・環境因子による疾患を含む）",22
"全身に及ぶ生理的変化、病態、診断、治療","放射線の生体影響と放射線障害",0
"全身に及ぶ生理的変化、病態、診断、治療","成長と発達",18
"全身に及ぶ生理的変化、病態、診断、治療","加齢と老化",0
"全身に及ぶ生理的変化、病態、診断、治療","人の死",0
