"査読者","コメント","査読への返答"
"A","知識チームの大幅改訂に側面で関わってきたので、細かいコメントは避けます（正直にいいますと、他の９領域の査読で力尽き果ててしまいました）
・以降は春以降考えることのメモです
　　ちょっと乱暴な分類ですが、D-1〜D-8が臓器システム別診療科、D-9は婦人科、D-10は産科、D-11は乳腺科、D-12内分泌代謝、D-13眼科、D−14耳鼻科、D−15精神科については大変すばらしい整理（特に疾患）が行われたと思います
　　コアカリを診療科別に記載すべきとは思いませんが、今回のDのような整理が行われると、E-2感染症、E−4免アレ、E-5中毒・熱傷など、E-6小児科、E−7老年科、F-2-10)麻酔科などにも同様の考えが波及するのではないかと感じました。E,Fにもある知識部分をDの書き様と整合させていくことが春以降の仕事だと感じました","Dの様式を採用するとすれば、E,Fの領域も同様の様式にする必要があると考えます。"
"B","",""
"C","・どうしても「これを学ぶことでどのような問題の解決能力につながるのか」が学生にも想像できる表現ではなく「何を学ぶべきか」の羅列になってしまいますが、これは仕方がないところも多いと思いますので、「方略」の章で、問題（課題）解決型の提案をするといった対応があわせて必要になると思います。
・「技能」に含まれるべき、鑑別疾患が多臓器にまたがる症状・症候（発熱など）について「説明できる」という項目が、知識の臓器別の第４層の複数臓器系統にも重複して登場します。技能・知識をまたいだ、卒業までに経験することが望ましい、鑑別診断アプローチが必要な症状・症候の一覧表があり、基本的に多臓器にまたがるものが「技能」、基本的に特定の臓器系統に鑑別が集中するものが「知識」にふりわけられていることをどこかに明示した上で、「知識」では後者だけを扱うほうがよいのではないでしょうか。
・195（パーソナリティ障害）に関連し、H28年度版C-05-06-01&02パーソナリティの類型・特性と形成に関する項目は知識を含め他のどこにも見当たりませんが、なしでよいですか？","・「何を学ぶべきか」の位置づけについては、方略の章で明示するという方法に賛成です。
 ・重複を避ける、２，３層内での整合を付けるという意味で、重複を避けることは賛成です。
 ・パーソナリティ障害については、別表「精神系」３１に統一しました。"
"D","",""
"E","・症状・症候→「症候」に統一　∵症状symptom、徴候signなのでsymptoms and signsは症候となる。症候に相当する英語はsymptoms & signsが適切。また「黄疸」など、主訴にも所見にもなりえるような、症状と徴候の区別が難しい場合があるため。
・理解し説明できる→説明できる、に変更。説明するには理解することが必要なので、理解し説明できるは冗長。","「説明できる」に統一でよいと思います。"
"F","",""
"G","〇　Outcome-basedですと、このパート（の特に前半）は「問題」に紐付いた解決方法があり、それに「知識」が紐付く形となるべきかと思うのですが、taxonomyに基づく知識の羅列（いわゆる教科書的な構造）となってしまっていますので、全体の構造をご確認ください。
〇　第２層「人体各器官の正常構造と機能、病態、診断、治療」では、具体的な疾患名等がすべて別表に移行されているが、H２８度版は項目ごとに「説明できる」「概説できる」と求められる学習の習熟度が分類されていたものがすべて「説明できる」となっており、学習内容としてかなり肥大化することになる。もとに戻すか、または習熟すべき度合いの濃淡がわかるようにすべきではないか。
〇　第２層「全身に及ぶ生理的変化、病態、診断、治療」第３層「感染症」の第４層「ショック」以下については、単語の羅列でなく文章にしてまとめられないか。
〇　第２層「医学一般」第３層「病因と病態」の第４層「自律性の増殖と良性腫瘍と悪性腫瘍の違い」以下と、第２層「全身に及び生理的変化、病態、診断、治療」第３層「腫瘍」は、内容の重複を整理してはどうか。
〇　第２層「全身に及ぶ生理的変化、病態、診断、治療」第３層「免疫・アレルギー」の第４層「ショック」以下、第３層「救急系」の第４層「意識障害」以下は、単語の羅列でなく文章にしてまとめられないか。
〇　一部の項目で「概説」から「説明」へ書き換えたことによる肥大化の懸念があるため、検証をお願いします。","・別表としての作成してあるが、全体のボリュームは減っていないので、更なる検討が必要。また、別表ではコーディングしていないので、こちらも検討が必要。
 ・腫瘍の部分の重複を検討します。
 ・「概説」から「説明」へ書き換えたことによる肥大化について、知識レベルの理解の「深さ」については統一したが、深さを表現するとすると、記載の工夫（＊をつけるなど）が必要。"
"H","・基礎医学の第3層がもう少し分類されていても（生理学とか薬理学とかでもいいです）いいように思います
・基礎医学で書かれている項目とそれ以外のところの項目で重なりがあるように思います。特に腫瘍や感染症は基礎と臨床が分断している印象を受けました。
・「全身に及ぶ～」の第３層で症候ごとにわけた第４層は不要ではないでしょうか（逆に症候からそれぞれの疾患を鑑別すべきと思います）",""
"I","特にこの資質能力では、完全に削除となった項目が何か、明確にする必要があると思いました。
また、「...主な検査・診断、...」となっていますが、「検査、診断」と分けて記載すべきだと思います。検査＝診断という誤解を与えてしまうと危惧しました。",""
"","その他素案作成にあたりコメント及び質問事項を右に記載します。（山脇）","・人名、外国語名詞の日本語表記、英語表記の方針
 ・「～など」の記載を許してよいか
 ・学修の深度をどのように表現するか。「説明できる」と「概説できる」の差異
 ・個別の腫瘍名は「癌」、その他は「がん」に統一
 ・C、Eで第4層が肥大化しており、異なるカテゴリー内容が含まれている部分がある
 ・D,Eの症候部分の扱い。
 ・Dの臓器別疾患名は別表となっているが、コード化がされていない
 ・Dの別表形式を採用した場合、Eの腫瘍、感染症などの個別の疾患名も別表とすべき
 ・Eに救急が入った"
