"第2層","第3層","第4層","H28対応項目","メモ"
"集団に対する医療","統計の基礎","","",""
"集団に対する医療","統計手法の適用","","",""
"集団に対する医療","根拠に基づいた医療<EBM>","","",""
"集団に対する医療","疫学と予防医学","","",""
"集団に対する医療","生活習慣とリスク","","",""
"集団に対する医療","社会・環境と健康","","",""
"集団に対する医療","地域医療・地域保健","","",""
"集団に対する医療","保健・医療・福祉・介護の制度","","",""
"集団に対する医療","国際保健","","",""
"法医学と関連法規","死と法","","",""
"法医学と関連法規","診療情報と諸証明書","","",""
"医学研究と倫理","倫理規範と実践倫理","","",""
"医療に関連のある社会科学領域","医師に求められる社会性","","",""
"社会保障","公衆衛生","健康及び公衆衛生（地域共生社会含む）の概念を説明できる。","",""
"社会保障","公衆衛生","予防の段階と戦略を説明できる。","",""
"社会保障","公衆衛生","地域診断、PDCAサイクルなど科学的根拠に基づく公衆衛生活動に参加する。","",""
"社会保障","社会保険、社会福祉、公的扶助","生存権などの健康に関する基本的人権と社会保障（社会保険、社会福祉、公的扶助）を説明できる。","",""
"社会保障","社会保険、社会福祉、公的扶助","社会保険の財源と支払い方式を説明できる。","B-01-08-na-01,B-01-08-na-09",""
"社会保障","社会保険、社会福祉、公的扶助","国民皆保険としての医療保険、介護保険、年金保険を含む社会保険を説明できる。","B-01-08-na-01,B-01-08-na-09",""
"社会保障","社会保険、社会福祉、公的扶助","障害者の日常生活及び社会生活を総合的に支援するための法律（障害者総合支援法）など障害者福祉を説明できる。","",""
"社会保障","地域保健","保健所・市町村保健センター・地方衛生研究所の役割、地域保健法等、地域保健体制を説明できる。","B-01-07-na-01",""
"社会保障","地域保健","健康増進法、栄養、身体活動、休養等、健康増進施策を説明できる。","",""
"社会保障","地域保健","母子保健法、母体保護法、児童福祉法、児童虐待防止法等、母子保健施策を説明できる。","B-01-06-na-04,B-01-07-na-03",""
"社会保障","地域保健","学校医、学校感染症、学校保健安全法等、学校保健を説明できる","",""
"社会保障","地域保健","特定健康診査・特定保健指導、高齢者の医療の確保に関する法律（高齢者医療確保法）等、成人及び高齢者保健施策（介護予防含む）を説明できる。","",""
"社会保障","地域保健","がん対策基本法、がん登録等の推進に関する法律等、がん対策を説明できる。","",""
"社会保障","地域保健","自殺対策基本法、精神保健福祉法等、精神衛生・心の健康に関する施策を説明できる。","",""
"社会保障","地域保健","8020、フッ化物の利用、全身の健康との関連等、歯科保健施策を説明できる。","",""
"社会保障","産業保健・環境保健","産業保健の意義、労働衛生の3管理など、産業保健の基本的な考え方を説明できる。","",""
"社会保障","産業保健・環境保健","産業医の選任義務、労働安全衛生法、労働基準法等、産業保健の基本的な法令を説明できる。","",""
"社会保障","産業保健・環境保健","労働災害及び職業性疾病とのその対策を説明できる。","",""
"社会保障","産業保健・環境保健","有害物質による産業中毒とその対策を説明できる。","",""
"社会保障","産業保健・環境保健","水道、建築物における衛生的環境の確保に関する法律（建築物衛生法）、住宅環境等、生活環境衛生施策を説明できる。","",""
"社会保障","産業保健・環境保健","環境基本法、公害、廃棄物の処理及び清掃に関する法律（廃棄物処理法）等、環境保全施策を説明できる。","",""
"社会保障","健康危機管理","健康危機の概念と種類、それらへの対応を説明できる","",""
"社会保障","健康危機管理","健康危機時のリスクコミュニケーションを説明できる。","",""
"社会保障","健康危機管理","食品衛生法、食品営業、食中毒の状況等、食品衛生施策を説明できる。","",""
"社会保障","健康危機管理","感染症の予防及び感染症の患者に対する医療に関する法律（感染症法）、検疫法、予防接種法、新型インフルエンザ等対策特別措置法等、感染症対策を説明できる","",""
"社会保障","健康危機管理","災害対策基本法、災害救助法等、自然災害の対応を説明できる。","",""
"社会保障","健康危機管理","災害拠点病院、種々の活動チーム等、災害保健医療 を説明できる。","",""
"社会保障","健康危機管理","放射線事故、テロリズム、国民保護法の適用事象等、種々の健康危機の種類別の対応を説明できる。","",""
"社会保障","保健統計","主な人口統計（人口静態と人口動態）、疾病・障害の分類・統計（疾病及び関連保健問題の国際統計分類：International Statistical Classification of Diseases and Related Health Problems〈ICD〉等）を説明できる。","",""
"社会保障","保健統計","平均寿命、健康寿命を説明できる。","",""
"社会保障","保健統計","e-Stat（政府統計の窓口）を利用できる。","",""
"疫学・医学統計","疫学","疫学の役割を公衆衛生と臨床の視点で説明できる。","",""
"疫学・医学統計","疫学","割合・比・率の違いを理解し、代表的な疫学指標（有病割合、リスク比、罹患率等）を説明できる。","",""
"疫学・医学統計","疫学","主なバイアス・交絡を（例をあげて）説明できる。","",""
"疫学・医学統計","疫学","年齢調整における直接法と間接法の違いを説明できる。","",""
"疫学・医学統計","疫学","主な疫学の研究デザイン（観察研究［記述研究、横断研究、症例対照研究、コホート研究］、介入研究（ランダム化比較試験等）を説明できる。","",""
"疫学・医学統計","疫学","急性感染症と慢性疾患の疫学的アプローチの違いを説明できる。","",""
"疫学・医学統計","疫学","不確実性を含む、限られた情報を評価し、人間の生命や健康を守る意思決定につなげていくには何が必要か考えることができる。","",""
"疫学・医学統計"," データ解析と統計手法","尺度（間隔、比、順序、名義）を説明できる。","",""
"疫学・医学統計"," データ解析と統計手法","データの分布（欠損値を含む）を記述できる。","",""
"疫学・医学統計"," データ解析と統計手法","正規分布の母平均の信頼区間を説明できる。","",""
"疫学・医学統計"," データ解析と統計手法","相関分析、平均値と割合の検定等を実施できる。","",""
"疫学・医学統計"," データ解析と統計手法","多変量解析の意義を説明できる。","",""
"法医学","死と法","植物状態、脳死、心臓死及び脳死判定を説明できる。","B-02-01-na-01",""
"法医学","死と法","異状死・異状死体の取扱いと死体検案を説明できる。","B-02-01-na-02",""
"法医学","死と法","死亡診断書と死体検案書を作成できる。","B-02-01-na-03",""
"法医学","死と法","個人識別の方法を説明できる。","B-02-01-na-04",""
"法医学","死と法","病理解剖、法医解剖（司法解剖、行政解剖、死因・身元調査法解剖、承諾解剖）を説明できる。","B-02-01-na-05",""
"社会の構造や変化から捉える医療","社会格差と医療","社会的弱者の立場にある患者の代弁者となることができる","",""
"社会の構造や変化から捉える医療","社会格差と医療","社会格差を解消するために社会に対して行動できる","",""
"社会の構造や変化から捉える医療","健康と医療","健康寿命を延ばすために生活者への積極的な働きかけを行うことができる","",""
"社会の構造や変化から捉える医療","健康と医療","バリヤフリーなどの障害と社会環境に関連する概念を理解した行動をとることができる","",""
"社会の構造や変化から捉える医療","ジェンダーと医療","女性やLGBTに対する差別などのジェンダー不平等をなくすために積極的な行動をとることができる","",""
"社会の構造や変化から捉える医療","気候変動と医療","気候変動と医療との関係性を理解できる","",""
"社会の構造や変化から捉える医療","気候変動と医療","患者が抱える健康に関する課題と気候変動との関係を想像できる","",""
"社会の構造や変化から捉える医療","気候変動と医療","地球環境が抱える諸課題を認識し、その解決のために行動できる","",""
"社会の構造や変化から捉える医療","哲学・倫理と医療","現代思想・哲学の語彙を概説することができる","",""
"社会の構造や変化から捉える医療","哲学・倫理と医療","診療現場における倫理的問題について適切に考えて対応できる。","A-01-01-na-02,A-01-01-na-03",""
"社会の構造や変化から捉える医療","歴史と医学・医療","医学・医療の歴史的変遷を概説できる。","A-01-01-na-01",""
"社会の構造や変化から捉える医療","歴史と医学・医療","現代の医学的問題を過去の歴史を用いて相対化できる。","A-01-01-na-01",""
"国内外の視点から捉える医療","国内の医療職の役割と医療体制","医師法が定める医師の職権と義務を説明できる。","B-01-08-na-06",""
"国内外の視点から捉える医療","国内の医療職の役割と医療体制"," 医療職を規定する法律・制度を概説できる。","B-01-08-na-06",""
"国内外の視点から捉える医療","国内の医療職の役割と医療体制"," 医療法が定める医療施設を概説できる。","B-01-07-na-02,B-01-08-na-06",""
"国内外の視点から捉える医療","国内の医療職の役割と医療体制"," 地域医療計画を説明できる。","B-01-07-na-02,B-01-08-na-06,A-07-01-na-02",""
"国内外の視点から捉える医療","グローバルヘルスの役割や医療体制","国際的に援助が必要とされる医療・健康課題の歴史・社会的背景を知る。","新設",""
"国内外の視点から捉える医療","グローバルヘルスの役割や医療体制","グローバルヘルス領域での母子に関わる医療・健康問題を挙げることができる。","B-01-09-na-01, D-10-03-na-07",""
"国内外の視点から捉える医療","グローバルヘルスの役割や医療体制","国際的に問題となっている感染症・非感染性疾患とその対策を概説できる。","B-01-09-na-01",""
"国内外の視点から捉える医療","グローバルヘルスの役割や医療体制","UHC(Universal health coverage)とは何かを概説し、各国の医療制度が抱える問題を例示できる。","B-01-09-na-01",""
"国内外の視点から捉える医療","グローバルヘルスの役割や医療体制","保健関連SDGや国際援助組織を概説できる。","B-01-09-na-01",""
"社会科学の視点から捉える医療","社会科学と医療との関係","社会科学（主に医療人類学や医療社会学）の基本的な視点・方法・理論を用いることができる。","",""
"社会科学の視点から捉える医療","社会科学と医療との関係","医療に関する諸事象をシステム論の観点から社会の諸制度との関わりのなかで捉え、構造的に説明できる。","",""
"社会科学の視点から捉える医療","社会科学と医療との関係","人びとの生活の場において健康・病気・死とそれらをめぐる医療がどのようにとらえられているかを探索することを通じて、予防医学や健康維持増進、在宅療養・入院・施設入所等の関係を総合的に考察できる。","",""
