"第2層","第3層","第4層","UID","H28対応項目","第4層(技術参与清書)","第4層(20220302査読直前)","H28表記","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 24"
"リサーチマインド","能動的姿勢 ","常識を疑う","JkxpmiQ","","常識を疑い、何事にも知的好奇心を持って取り組む。","常識を疑い、何事にも知的好奇心を持って取り組む","","常識を疑う","原則、一項目に一つの内容がよいと考え、４項目に戻しています。",2.0,"","常識を疑う","新設","１，２を合体しました","第三層が姿勢なので、第四層は仕方ないかとは思います","シンプルに「常識を疑う」でよい","常識や慣習を疑う姿勢を持つ","","人生訓なので割愛で良いのでは？","重要と思います。ただし、常に頭から常識を否定するような印象にとられないように、『常識にとらわれずに、慎重に？批判的に？再検討する・・・・。』等の、表現がいいかもしれないと思いました。","姿勢を身につける？でしょうか。","１，２を合わせてはいかがでしょうか。「常識を疑い、何事にも知的探究心をもって取り組む」","「批判的思考（Critical thinking）を身につける」かと思いました。",""
"リサーチマインド","能動的姿勢","","JkxpmiU","","","削除：何事にも知的好奇心を持って取り組む","","何事にも知的好奇心を持って取り組む","原則、一項目に一つの内容がよいと考え、４項目に戻しています。","","","","新設","１，２を合体しました","何事にもは必要でしょうか？評価はできますか？","","","","麻雀とかゴルフとかも？人生訓なので割愛で良いのでは？","","これだと評価できないと想定されるため、「知的好奇心に基づく探究活動を実践できる」はいかがでしょうか。","","",""
"リサーチマインド","探究心","","JkxpmiY","","","削除：最先端の研究に刺激を受ける","","最先端の研究に刺激を受ける","原則、一項目に一つの内容がよいと考え、４項目に戻しています。","","","","新設","3，4を合体しました,","最先端の研究に触れる（体験目標）にするのが現実的かなとは思います","","","","","最先端でなくても学生が刺激を受けるべき大事な研究はたくさんあるので、卒前教育における専門偏重が問題視されている中、ちょっと気になりました。新たな医学・医療を展開するための（先端）研究に触れる、　くらいではいかがでしょう。","刺激を受けるかどうかは主観的なものですので、「最先端の研究について自分なりの興味・理解を形成する」などでしょうか。","３，４も統合できないでしょうか。「最先端の研究や研究者の生き方に触れ探究心を養う」とか。（刺激をうける・生き方に触れる。はコンピテンシーというより方略に近いような気もしました。）","",""
"リサーチマインド","探究心","ロールモデルとしての研究者の生き方に触れる","Jkxpmic","A-08-01-na-01","研究者としての生き方に触れ、最先端の研究に刺激を受ける。","研究者としての生き方に触れ、最先端の研究に刺激を受ける","研究は、医学・医療の発展や患者の利益の増進を目的として行われるべきことを説明できる。","ロールモデルとしての研究者の生き方に触れる","原則、一項目に一つの内容がよいと考え、４項目に戻しています。
文言をわかりやすくするため追記しました",2.0,"","ロールモデルとしての研究者の生き方に触れる","","3，4を合体しました,","研究者と接し、研究の重症性について説明することができる","","「生き方に触れる」はやはり資質・能力の延長上にない（何方かと言えば方略？）と思うので、「研究者として生きてみる」とか？","","","","「医学における研究者の役割を説明できる」のようなイメージでしょうか・・・？","","","【宮地】「生き方に触れる」が具体的にどういうことなのか、私にはやっぱりちょっとわかりにくく感じるので、カリキュラム作成者が読んだ時にいろいろな解釈が生じる可能性があるのと、よくわからないから、と結局扱われなくなることが少し心配です。研究者としてどういうことを大事にして生きているのかを知って、自分のあり方を考えるということでしょうか？"
"既知の知","医学と医療","医療の実践が基礎医学・臨床医学・社会医学の研究に基づいていることを理解する。","Jkxpmig","","医療は基礎医学・臨床医学・社会医学の研究に基づくことを理解する。","医療は基礎医学・臨床医学・社会医学の研究に基づくことを理解する。","","医療の実践が基礎医学・臨床医学・社会医学の研究に基づいていることを理解する。","日本語がわかりやすいように修正しました",2.0,"","医療の実践が基礎医学・臨床医学・社会医学の研究に基づいていることを理解する。","新設","5、６合体して文章改めました","体感する→理解する？
概念的な目標ですが、わざわざ1項目として立てる必要があるのでしょうか","","","","新設のプライオリティは高くないで良いのでは？","","「体感する」というのはよく分からないので端的に「説明できる」という表現でいいのではないでしょうか。","目標としなくても体感できるような気がします","",""
"既知の知","医学と医療","","Jkxpmik","","","削除：基礎医学・臨床医学・社会医学のそれぞれの特徴を理解できる","","","","","","","新設","5、６合体して文章改めました","この項目は不要では。
あえて書くなら基礎研究・臨床研究・社会研究でしょうが。","","","","新設のプライオリティは高くないで良いのでは？","不要に思います。","","明確な線引きがあるのでしょうか？","",""
"既知の知","論文読解","医学論文（英語）を読んで内容を理解する。","Jkxpmio","","医学論文（英語）を読んで構成を理解する。","医学論文（英語）を読んで構成を理解する。","","医学論文（英語）を読んで内容を理解する。","「構成を理解する」の日本語がわかりにくいです。もとの「ある程度内容を理解できる」を「内容を理解する」と体験目標型にしています。",2.0,"","医学論文（英語）を読んで内容を理解する。","新設","ある程度は省きました","国内外の医学論文を読み、内容をまとめて伝えることができる","","","","新設のプライオリティは高くないで良いのでは？","ある程度は不要そうに思います。","「ある程度」はやはり違和感があるので、「自分の知識レベルに応じて、内容を理解できる」などでしょうか。","ある程度、とはどの程度か困惑するように思います。","",""
"既知の知","論文読解","","Jkxpmiw","","","削除：英語の論文を読むことに抵抗がなくなる","","","","","","","新設","削除しました","上記に統合","","EBMで求めている実践レベルとあわせて、学生の段階である程度パフォーマンスとして能力を求めていてもいいと思います。「英語の論文や文献を読み、要旨を他者に伝えることができる」","","新設のプライオリティは高くないで良いのでは？","上記８と統合可能と思います。","「抵抗がなくなる」はさすがに幼稚な印象を持ってしまう（大学受験で英語があるはず）ため、「英語の論文に触れ、概略を述べることができる」など言い換える方がいいのではないでしょうか。","8と統合するか、論文に頻出する医学英語を理解する、のような目標はいかがでしょうか","",""
"既知の知","論文読解","","Jkxpmi0","B-01-03-na-05","医学論文（英語）を読んで批判的吟味を試み、討論できる。","医学論文（英語）を読んで批判的吟味を試み討論できる。","得られた情報の批判的吟味ができる。","","総合21にあるので削除でよいと思います。",2.0,"","","","文章改めました","国内外の医学論文などに対して、批判的な吟味をもとにDiscussionできる","","総合21と重複。EBMが実践レベルを求めているのにあわせて「指導医とともに批判的吟味を行うことができる」？","","既出に統合で良いのでは？","批判的吟味ができる　が良いのではと思います。","論文の読み方（データの扱い・読み方や論理構造など）を身につける的な形で分解しないと評価が難しい気がします。","科学2および総合21と重なります。８と統合できないでしょうか。","",""
"既知の知","情報検索","","Jkxpmi4","A-08-01-na-03、B-01-03-na-04","学術情報の中から適切に論文を検索できる。","学術情報の中から適切に論文を検索できる","{not found: A-08-01-na-03、B-01-03-na-04}","","",2.0,"","","","","おそらく情報チームにあると思います。
残すとしても参照を入れて相互関係がわかるように","","総合20と一部重複。EBMのステップに限らない項目なので残す？","","","","","総合20、情報8と似ています","",""
