"第2層","第3層","第4層","UID","H28対応項目","第4層(技術参与清書)","第4層(20220302査読直前)","H28表記","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","査読に対するコメント","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 25"
"全人的な視点とアプローチ","臓器横断的な診療","臓器横断的に医学的課題を捉えることができる。","JkxpsrE","","臓器横断的に医学的課題を捉えることができる。","臓器横断的に医学的課題を捉えることができる。","","臓器横断的に医学的課題を捉えることができる。","ママ",1.0,"","臓器横断的に医学的課題を捉えることができる。","新規","","","","","","","","","","","",""
"全人的な視点とアプローチ","臓器横断的な診療","適切な医療機関や診療科につなぐ重要性を理解している。","JkxpsrI","","適切な医療機関や診療科につなぐ重要性について概説できる。","適切な医療機関や診療科につなぐ重要性について概説できる。","","適切な医療機関や診療科につなぐ重要性を理解している。","理解している、に変更",2.0,"","適切な医療機関や診療科につなぐ重要性を理解している。","新規","","","","","","","","","","","",""
"全人的な視点とアプローチ","臓器横断的な診療","基本的なフレームワーク（頻度・重症度・緊急度、解剖学的アプローチ、病態生理学的アプローチ、二重過程理論、事前確率等）を用いて臨床推論を行うことができる。","JkxpsrM","F-02-01-na-02,F-02-01-na-03,F-02-01-na-04","基本的なフレームワーク（解剖学的アプローチ、病態生理学的アプローチ、二重過程理論、事前確率等）を用いて臨床推論を行うことができる。","基本的なフレームワーク（解剖学的アプローチ、病態生理学的アプローチ、二重過程理論、事前確率など）を用いて臨床推論を行うことができる。","情報収集には医療面接、身体診察、検査の３つの方法があることを説明できる。,診断仮説を想起するためには、解剖学、病理学、生理学、生化学等の基礎医学や疾患頻度が重要であることを説明できる。,診断仮説を検証するために、診断仮説に基づいた情報収集を実施できる。","基本的なフレームワーク（頻度・重症度・緊急度、解剖学的アプローチ、病態生理学的アプローチ、二重過程理論、事前確率等）を用いて臨床推論を行うことができる。","技能50の文言を加えました",2.0,"","基本的なフレームワーク（頻度・重症度・緊急度、解剖学的アプローチ、病態生理学的アプローチ、二重過程理論、事前確率等）を用いて臨床推論を行うことができる。","修正","","（変更あり）ご指摘の通り、フレームワークについては。普遍的に用いられている項目（査読者にご指摘頂いた事例など）を追記させて頂きました。","基本的なフレームワークという言葉で誰もが同じものを想像できるでしょうか","「基本的なフレームワーク」がわかりにくい","カリキュラム作成者に対する情報としては「基本的なフレームワーク」に何が含まれるかがより具体的なほうがよいと思いました。「〜の基本的なフレームワーク（診断仮説、鑑別診断、二重課程理論（dual process theory）など）を概説できる」https://www.tandfonline.com/doi/full/10.1080/0142159X.2020.1842343","","","","","概説できる、でいいのでしょうか。","フレームワークの例がないと確かにイメージしにくいと思います。例としてキーワードとしてここに記載するか、方略で記載するか。","【宮地】技能50はこれと重複で削除ですが、そこに含まれる「頻度・重症度・緊急度（等）」の文言は入れますか？なしでよい？"
"全人的な視点とアプローチ","臓器横断的な診療","主訴に応じて必要な医療面接・身体診察・検査を実施することができる。","JkxpsrQ","A-03-01-na-02,G-01-01-03-01,G-04-01-06-01,F-02-01-na-02","主訴に応じて必要な医療面接・身体診察・検査をすることができる。","主訴に応じて必要な医療面接・身体診察・検査をすることができる。","網羅的に系統立てて適切な順序で効率的な身体診察を行える。異常所見を認識・記録し、適切な鑑別診断が行える。,病歴を聴取して身体診察を行う。,病歴・身体診察を重視した診断推論（診断がつかない場合を含む）を組み立てる、又はたどる。,情報収集には医療面接、身体診察、検査の３つの方法があることを説明できる。","主訴に応じて必要な医療面接・身体診察・検査を実施することができる。","日本語の修正",2.0,"","主訴に応じて必要な医療面接・身体診察・検査を実施することができる。","修正, 矢野先生からのコメント「共用試験では問診→医療面接に統一」とありましたので、合わせて医療面接に修正しました。（鋪野）→はい、よいと思います（春田）","","（変更なし）H28の項目についてスリム化を目的とし統合、その上で本項目を作成しております。技能チームと重複する可能性が場合、検討させて頂けますと幸いです。","検査計画、治療計画までは不要ということでいいですね（確認）","","","","","","","","",""
"全人的な視点とアプローチ","臓器横断的な診療","診断がつかない健康問題やその介入方法を理解している。","JkxpsrU","","診断がつかない健康問題やその介入方法を概説できる。","診断がつかない健康問題やその介入方法を概説できる。","","診断がつかない健康問題やその介入方法を理解している。","コミュ32との整合性はとりました",2.0,"","診断がつかない健康問題やその介入方法を理解している。","新規","","（変更あり）ご指摘の通り、「未分化で多様かつ複雑」という表現は曖昧であると判断しました。そのため、より具体的な用語（臓器に特定されない健康問題など）に変更を行なっております。また、概説のレベルから、これらの問題に対するアプローチを説明できるというレベルに変更を行い対応させて頂きました。","未分化で多様かつ複雑という表現が誰もに通じるかどうかご検討ください。
しかも「概説できる」なので","","","","","","","言葉が少し難しいのですが、具体例をしめすことはできますでしょうか。","",""
"全人的な視点とアプローチ","臓器横断的な診療","多疾患が併存した状態および複数臓器にまたがる疾患について、その介入方法を理解している。","JkxpsrY","","多疾患併存や複数臓器にまたがる疾患やその介入方法を概説できる。","多疾患併存や複数臓器にまたがる疾患やその介入方法を概説できる。","","多疾患が併存した状態および複数臓器にまたがる疾患について、その介入方法を理解している。","理解しているに変更",2.0,"","多疾患が併存した状態および複数臓器にまたがる疾患について、その介入方法を理解している。","新規","※これは学生レベルではやや難しいか？","（変更あり）ご指摘の通り、パターンの部分は曖昧であったため、削除することで対応しております。","パターンという限りは一定の法則があるように聞こえますがそうですか？","","","","","","","パターン、というよりは、問題点やその介入方法、でしょうか","",""
"全人的な視点とアプローチ","臓器横断的な診療","ポリファーマシーとその介入方法を理解している。","Jkxpsrc","E-08-01-na-09,F-02-08-na-14","ポリファーマシーとその介入方法を概説できる。","ポリファーマシーやその介入方法を概説できる。","加齢に伴う薬物動態の変化、高齢者に対する薬物療法の注意点を説明でき、ポリファーマシーの是正等適切な介入が実施できる。,ポリファーマシー、使用禁忌、特定条件下での薬物使用（アンチ・ドーピング等）を説明できる。","ポリファーマシーとその介入方法を理解している。","理解しているに変更",2.0,"","ポリファーマシーとその介入方法を理解している。","修正","","（変更あり）ご指摘の通り、パターンの部分は曖昧であったため、削除することで対応しております。","パターンについて同上です
H28に比べて具体的にわかりにくくならないように","","","","","","","","",""
"全人的な視点とアプローチ","生物・心理・社会的な問題への包括的な視点","身体・心理・社会の問題を統合したアプローチを理解している。","Jkxpsrg","A-04-02-na-03,G-04-01-06-03","身体・心理・社会の問題を統合したアプローチについて概説できる。","身体・心理・社会の問題を統合したアプローチについて概説できる。","患者の心理的及び社会的背景や自立した生活を送るための課題を把握し、抱える問題点を抽出・整理できる。,家族や地域といった視点をもち、心理・社会的背景により配慮した診療に可能な範囲で参加する。","身体・心理・社会の問題を統合したアプローチを理解している。","理解している、に変更",2.0,"","身体・心理・社会の問題を統合したアプローチを理解している。","修正","","","","","","","","","","","","【宮地】地域医療・総合診療の実習担当経験者の個人的な印象ですが、概説できる（理解している）レベルであれば、講義などでのインプットと、実習での経験の振り返りで達成できそうなものの、実践できるレベルを学生全員について保証するのは難しいと感じます。"
"全人的な視点とアプローチ","生物・心理・社会的な問題への包括的な視点","個人・家族の双方への影響を踏まえたアプローチを理解している。","Jkxpsrk","G-04-01-06-03","個人・家族の双方への影響を踏まえたアプローチについて概説できる。","個人・家族の双方への影響を踏まえたアプローチについて概説できる。","家族や地域といった視点をもち、心理・社会的背景により配慮した診療に可能な範囲で参加する。","個人・家族の双方への影響を踏まえたアプローチを理解している。","実践できる、に変更",2.0,"","個人・家族の双方への影響を踏まえたアプローチを理解している。","修正","","（変更なし）踏まえたアプローチはご指摘頂いた「配慮」を包含する意味で用いておりました。配慮を明示することで内容がより伝わるのであれば、再度検討させて頂けますと幸いです。","配慮という言葉は復活できませんか","","","","","","","","","【宮地】同上で、「理解している」のほうがよいと思いました。"
"全人的な視点とアプローチ","生物・心理・社会的な問題への包括的な視点","","Jkxpsro","","性別、国籍、障害、宗教など多様な背景を持つ患者の価値観を尊重できる。","性別、国籍、障害、宗教など多様な背景を持つ患者の価値観を尊重できる。","","","コミュ18と重複",2.0,"","","新規","","","","","","","","","","","",""
"全人的な視点とアプローチ","生物・心理・社会的な問題への包括的な視点","削除:トラウマインフォームドケアの対応について概説できる。：コンテクストを確認（春田先生）","Jkxpsrs","","","削除:トラウマインフォームドケアの対応について概説できる。：コンテクストを確認（春田先生）","","","",1.0,"","削除:トラウマインフォームドケアの対応について概説できる。：コンテクストを確認（春田先生）","新規、点の位置には議論がありそうなので、消去しました。","※全体でこころに関する文言があるかどうか、確認する。","（削除）トラウマドインフォームドケアですが、社会PTでの有識者インタビューから得られた項目でした。そのコンテクストを確認し、子供に限らず、成人にも重要な概念だとは思いますが、現時点では十分に医療者にも共有されていない概念ですので、今回は削除といたしました。","新たな項目（概念）なので、一定の説明を入れるほうがいいと思います
この項目を入れる代わりに削除したのは何ですか？","","","","新規投入の必要性は高い文言でしょうか？","","","「トラウマインフォームドケア」をあまりよくわかっていないだけかもしれませんが、「身体・心理・社会の問題を統合したアプローチ」にふくまれないでしょうか。
","補足）2021年上半期社会PTより提案あり。私個人は、「すべての人にトラウマ体験の影響があるかもしれないということを念頭に置いたケアのアプローチ」と解釈しています。",""
"全人的な視点とアプローチ","患者中心の医療","個々の患者の医療への期待、解釈モデル、健康観を聞き出すことができる。","Jkxpsrw","A-01-02-na-03","個々の患者の医療への期待、解釈モデル、健康観を聞き出すことができる。","個々の患者の医療への期待、解釈モデル、健康観を聞き出すことができる。","選択肢が多様な場合でも適切に説明を行い患者の価値観を理解して、患者の自己決定を支援する。","個々の患者の医療への期待、解釈モデル、健康観を聞き出すことができる。","ママ",2.0,"","個々の患者の医療への期待、解釈モデル、健康観を聞き出すことができる。","修正","","（変更なし）コミュニケーションの23が削除で検討中と理解しております。そのためこの項目についてはそのまま総合で記載をしております。","","","コミュ23と重複しています。コミュに統合？","","","","","医療面接の技能にも思えます（技能４とかと近い？）","プロフェッショナリズム 「わかりやすく正確な説明を行うにはどのようにすればよいか？」にも該当（H28コアカリと同じ引用）",""
"全人的な視点とアプローチ","患者中心の医療","患者の社会的背景（経済的・制度的側面等）が病いに及ぼす影響を理解している。","Jkxpsr0","A-01-03-na-02,A-04-02-na-03","患者の社会的背景（経済的・制度的側面等）が病いに及ぼす影響を概説できる。","患者の社会的背景（経済的・制度的側面など）が病いに及ぼす影響を概説できる。","患者やその家族のもつ価値観や社会的背景が多様であり得ることを認識し、そのいずれにも柔軟に対応できる。,患者の心理的及び社会的背景や自立した生活を送るための課題を把握し、抱える問題点を抽出・整理できる。","患者の社会的背景（経済的・制度的側面等）が病いに及ぼす影響を理解している。","理解している、に変更",2.0,"","患者の社会的背景（経済的・制度的側面等）が病いに及ぼす影響を理解している。","修正","","（変更あり）査読者Aのご指摘に従い、「個々の」を削除しました。","患者が単数形だとすると「病に及ぼす影響を」でよいと思います。ひとりの患者が多疾患を持っている場合に、そのひとつひとつの疾患に及ぼす影響…という風に読めます","","","","","","","","",""
"全人的な視点とアプローチ","患者中心の医療","","Jkxpsr4","A-01-02-na-04,F-02-01-na-07","医療者と患者が診療上の共通の理解基盤を築くための方法を概説できる。","医療者と患者が診療上の共通の理解基盤を築くための方法を概説できる。","インフォームド・コンセントとインフォームド・アセントの意義と必要性を説明できる。,治療やマネジメントに関して意思決定するために、患者側と情報共有や摺り合わせをすることができる。","","コミュ24で重複",2.0,"","","修正","","（変更あり）ここで意図している共通の理解基盤は、「患者中心の医療（Patient-centered clinical method(PCCM)」を意図した内容になっており、ご指摘のインフォームドコンセント・アセントとは異なるものでした。診療におけることを追記し、明示するように変更しております。","インフォームド・コンセントとインフォームド・アセントという言葉は残したほうがよいのではないでしょうか","","コミュ23と一部重複。コミュ23は実践レベルを求めています。","","","","","どんな方法があるのか例示はあるでしょうか（インフォームドコンセントやアセントがそれに該当する？）","共通基盤を築くための「方法」を述べているので、キーワードや例示があった方が良い。コミュ21-23でインフォームドコンセントの記載があるため重複を検討。",""
"全人的な視点とアプローチ","患者中心の医療","","Jkxpsr8","A-01-02","","削除:患者中心性が医療の質に及ぼす影響を概説できる。","{not found: A-01-02}","","",2.0,"","","新規、既存のコアカリのA-01-02の患者中心に関わる項目であるが、医療の質という点に注目する点で新規","","（削除）ご指摘にしたがい、削除とさせて頂きました。","第三層と第四層があまり変わらないか","","","","問が漠然としているので割愛","削除候補と思います。","","大切なこととは思いますが、あえて入れなくてもいいように思いました。","",""
