"第2層","第3層","第4層","UID","H28対応項目","第4層(技術参与清書)","第4層(20220302査読直前)","H28表記","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","Unnamed: 14","#REF!","Unnamed: 16"
"連携の基盤","患者中心の保健医療福祉","","Jkxp2HQ","","","削除：患者・利用者・家族の価値観や関心事を、多職種及び他学部の学生に伝えられる。","","","","","","","新規","統合する","",""
"連携の基盤","患者中心の保健医療福祉","","Jkxp2HU","","","削除：患者・利用者・家族を中心とした治療やケアの目標を多職種及び他学部の学生と話し合うことができる。","","","","","","","新規","","",""
"連携の基盤","患者中心の保健医療福祉","患者・利用者・家族に関連する情報について、多職種及び他の医療系学部の学生と共有できる。","Jkxp2HY","","患者・利用者・家族に関連する情報について、多職種及び他学部の学生と共有できる。","患者・利用者・家族に関連する情報について、多職種及び他学部の学生と共有できる。","","患者・利用者・家族に関連する情報について、多職種及び他の医療系学部の学生と共有できる。","守秘義務が気になり、他の医療系学部としてみました。",2.0,"","患者・利用者・家族に関連する情報について、多職種及び他の医療系学部の学生と共有できる。","新規","","",""
"連携の基盤","職種間コミュニケーション","","Jkxp2Hc","","","削除：自らが把握している情報を、多職種及び他学部の学生に伝えられる。","","","",2.0,"","","新規","統合する","",""
"連携の基盤","職種間コミュニケーション","多職種及び他の医療系学部の学生の役割や意見を尊重した説明や返答、問いかけができる。","Jkxp2Hg","","多職種及び他学部の学生の役割や意見を尊重した説明や返答、問いかけができる。","多職種及び他学部の学生の役割や意見を尊重した説明や返答、問いかけができる。","","多職種及び他の医療系学部の学生の役割や意見を尊重した説明や返答、問いかけができる。","４に合わせて「他の医療系学部」としてみました。",2.0,"","多職種及び他の医療系学部の学生の役割や意見を尊重した説明や返答、問いかけができる。","新規","","",""
"連携の基盤","職種間コミュニケーション","","Jkxp2Hk","","","削除：自らの見解を、他職種及び他学部の学生にも理解できる言葉で説明できる。","","","",2.0,"","","新規","統合する","",""
"連携の基盤","医師間の紹介と相談","適切な診断・検査・治療のために、適切な施設・専門科・医師への紹介や相談ができる。","Jkxp2Ho","","適切な診断・検査・治療のために、適切な施設・専門科・医師への紹介や相談ができる。","適切な診断・検査・治療のために、適切な施設/専門科/医師への紹介や相談ができる。","","適切な診断・検査・治療のために、適切な施設・専門科・医師への紹介や相談ができる。","ママ",2.0,"","適切な診断・検査・治療のために、適切な施設・専門科・医師への紹介や相談ができる。","新規","","",""
"連携の基盤","医師間の紹介と相談","","Jkxp2Hs","","","削除：紹介と相談のプロセスにおいて、患者・家族に予想しうる状況を共有できる。","","","","","","","新規","削除する","",""
"連携の基盤","医師間の紹介と相談","患者のケアと責任が継続できるよう、医師間での考えや期待を共有できる。","Jkxp2Hw","","患者のケアと責任が継続できるよう、医師間での考えや期待を共有できる。","患者のケアと責任が継続できるよう、医師間での考えや期待を共有できる。","","患者のケアと責任が継続できるよう、医師間で適切に情報（医師自身の考えも含む）を共有できる。","患者安全を考えても、まずは医療情報の共有が先ではないでしょうか？また「考え」と「期待」はレイヤーが異なるのでは？",1.0,"査読の意図が不明です。医師間の紹介や相談においては、単なる医療情報の伝達であるだけではないはずです。患者情報を伝達した上で、治療方針の検討・意見交換を行うわけで、期待・考えという言い方が適切かはわかりませんが、治療方針、マネジメントの方向性を決めることまで含むはずです。こうしたConsultationやReferralのプロセスが狭小化される改変はしない方が良いと思います。（山梨）","患者のケアと責任が継続できるよう、医師間での考えや期待を共有できる。","新規","削除するか？","","【宮地】共有されるべき「医師の考え」とは一体なんなのかわかりにくいので、「〜、医師間で適切に情報を共有できる」でもよいのでは。"
"協働実践","職種役割","自らの知識や価値観を、多職種及び他の医療系学部の学生に伝えられる。","Jkxp2H0","","自らの知識や価値観を、多職種及び他学部の学生に伝えられる。","自らの知識や価値観を、多職種及び他学部の学生に伝えられる。","","自らの知識や価値観を、多職種及び他の医療系学部の学生に伝えられる。","４に合わせて「他の医療系学部」としてみました。後第３層の「職業役割の貢献」は日本語としてわかりにくいのでは？「職業役割」だけでよいと思います。",2.0,"","自らの知識や価値観を、多職種及び他の医療系学部の学生に伝えられる。","新規","","",""
